uuid,name,slug,wikidata_id,reason,lat,lng,hint
a3c04f4b-164c-4751-8e35-d2aaf6fa5539,Bialystok,bialystok,,missing_coords,,,
529a5d09-c56b-4735-9e52-79d0463ef812,Bielau,bielau,,missing_coords,,,
eba71452-103c-4010-bc12-776c9e842aa5,Bielitz,bielitz,,missing_coords,,,
18420da1-e449-433e-b1b3-96ad8ad00548,Böhmisch Leipa,bohmisch-leipa,,missing_coords,,,
437e4336-b851-4580-ab08-bfd8fb114f09,Brieg,brieg,,missing_coords,,,
4cc93f23-7ad1-43e6-849f-909c95b160b2,Brooklyn,brooklyn,,outside_eu_il,40.6501,-73.9496,North America
0d9f371b-ce09-46da-9a05-224f36f522bf,Buda,buda,,outside_eu_il,30.0852,-97.8403,North America
4b87e66d-6354-4d84-bdc3-fd4fe9514a78,Commentator,commentator,,missing_coords,,,
174ca665-9800-418d-987c-0cd274498efc,Danzig,danzig,,outside_eu_il,46.1380,-99.4748,North America
060ddab2-accf-410a-9afb-0153889c257a,Dembitz,dembitz,,missing_coords,,,
32fdba55-f3f3-4471-bfb4-1b132da18490,Den Haag,den-haag,,outside_eu_il,-31.3439,26.5550,South Africa or Oceania
d2432566-4e02-4436-baa2-3dd53634e86f,Drohobytsch,drohobytsch,,missing_coords,,,
7b032fc2-2e4b-4dcf-ae3b-af81e88b0e4c,Dyhernfurth,dyhernfurth,,missing_coords,,,
9b248b36-c0d9-493e-a590-00a1cade9baa,Florenz,florenz,,missing_coords,,,
0df7f49f-6f42-4af0-81d0-930347120024,Frankfurt/Oder,frankfurtoder,,missing_coords,,,
0df7f49f-6f42-4af0-81d0-930347120024,Frankfurt/Oder,frankfurtoder,,suspicious_name:digit_or_symbol,,,
ee9d3cdf-517f-4f5c-960f-934e5bef41fb,Glogau,glogau,,missing_coords,,,
24b72aca-dd8f-499a-8674-05335724ba9c,Griechenland,griechenland,,missing_coords,,,
e29a1342-8a93-4598-8e59-9bc41b952c20,Hasenpoth,hasenpoth,,missing_coords,,,
4c9ece89-e1fa-4732-97e8-9c8083e08285,Jaroslaw,jaroslaw,,outside_eu_il,50.8569,-97.0646,North America
a766a6d0-8bec-4901-b9d4-d020dbf27a05,Jersualem,jersualem,,missing_coords,,,
6acfff59-5693-48e5-b442-0adb13801c11,Jewpatorija,jewpatorija,,missing_coords,,,
723cc713-cc18-4355-80a5-7e0120d31d18,Kanischa,kanischa,,missing_coords,,,
c7aa1af5-678c-4bf5-9148-c7ae6b002c47,Kolmar,kolmar,,outside_eu_il,-43.6883,171.7301,Oceania
5970b1a5-84a7-4104-9382-fe39b80c921e,Kopys,kopys,,missing_coords,,,
75477a8b-732d-48a5-9b28-ebc4e70e470b,Köslin,koslin,,missing_coords,,,
823c994c-b2b7-4c8a-8d1e-5e0d7965743b,Krossen an der Oder,krossen-an-der-oder,,missing_coords,,,
94557386-a996-4730-9c6a-3941481d3247,Kuttenplan,kuttenplan,,missing_coords,,,
e018e49c-7e20-4df5-882f-a5e909481802,Landau,landau,,outside_eu_il,-25.9500,29.1833,South Africa or Oceania
21ddd11e-c63c-4249-85ae-b426efa41459,Landsberg/Warthe,landsbergwarthe,,missing_coords,,,
21ddd11e-c63c-4249-85ae-b426efa41459,Landsberg/Warthe,landsbergwarthe,,suspicious_name:digit_or_symbol,,,
5e813a59-2d7d-4783-b4a2-4e2ae895e199,Leipnik,leipnik,,missing_coords,,,
66f24f98-3a5c-437d-8922-80bafdf0a20a,Leslau,leslau,,missing_coords,,,
4cfd2409-0321-4ce1-bde5-0eb8ca48e9fd,Lviv,lviv,,missing_coords,,,
903b4c99-8ce4-49c7-b6f3-58a8db94729c,Mattersdorf,mattersdorf,,missing_coords,,,
fea8b84c-cad6-4041-b93e-89c054a58826,Mesritsch,mesritsch,,missing_coords,,,
99a8d4cc-11d5-4a23-955a-fd8e2bbf0372,Mohilev,mohilev,,missing_coords,,,
3b3c554f-2cbf-4280-a7f6-38648faf154e,Münden,munden,,outside_eu_il,39.9139,-97.5381,North America
0280fe90-45af-4247-a0a8-b7440f0db132,Neuzedlisch,neuzedlisch,,missing_coords,,,
afa590a4-f85c-4979-b90c-15e7d407be53,New York,new-york,,outside_eu_il,43.0003,-75.4999,North America
80508a1f-1548-492d-b99a-b5da73cd1d15,Nikolsburg,nikolsburg,,missing_coords,,,
a3332362-420c-46fd-8bf2-cfbff57fb5e5,Nimwegen,nimwegen,,missing_coords,,,
a3f7b989-5965-4d52-8498-29632061b3e9,Porizk,porizk,,missing_coords,,,
f5f16f82-69c9-4779-9692-758ca6648d86,Pressburg/Bratislava,pressburgbratislava,,missing_coords,,,
f5f16f82-69c9-4779-9692-758ca6648d86,Pressburg/Bratislava,pressburgbratislava,,suspicious_name:digit_or_symbol,,,
61e76c85-7dff-4d47-b4bb-1fa227dd024a,Ragendorf,ragendorf,,missing_coords,,,
1f3d9782-f44e-4069-9d9f-2b5631612963,Rakonitz,rakonitz,,missing_coords,,,
fd8688b4-7114-4763-8a68-20a3b44a50d0,Rawa,rawa,,outside_eu_il,11.7283,42.6789,outside box
5f660e6d-0464-43e5-979d-cb3f7e816b32,Reschow,reschow,,missing_coords,,,
04e7fced-4751-436c-b2f2-52a3353af7a1,Samocz,samocz,,missing_coords,,,
e344ade2-6571-428b-9871-1597f322b9c2,Satanow,satanow,,missing_coords,,,
3f1a6bc0-b8fa-417e-ad1f-17e44fb4f274,Schklov,schklov,,missing_coords,,,
8b726297-9cb5-40ec-9341-dab3d264e1c3,Schottland,schottland,,missing_coords,,,
32c112b5-19fc-4c75-9c7e-241139707e9a,Schwedt,schwedt,,missing_coords,,,
783157d9-ae04-4274-8bc6-429a8eb338eb,Shkloŭ,shklou,,missing_coords,,,
1cad62ed-34c2-42b2-a6a3-a8080a4916ce,Slawkowiec,slawkowiec,,missing_coords,,,
bb380ae7-530e-4370-8655-1ff47f21f623,SmokeC,smokec,,missing_coords,,,
55a79f0f-d2ea-4a9d-9469-01e357a9941f,Stettin,stettin,,outside_eu_il,-23.2879,29.2649,South Africa or Oceania
86ce0679-c4d0-4335-9cd0-a6b4432c7ab5,Strelitz,strelitz,,missing_coords,,,
084c4002-a1b0-4d43-9f75-83a31f9272ba,Tachau,tachau,,missing_coords,,,
a2d4e128-acde-4488-aa54-e91377e5da5c,TestCity,testcity,,missing_coords,,,
