uuid,name,slug,best_qid,best_label,best_score,best_reasons,second_qid,second_label,second_score,action,all_candidates
c8055655-82be-47d9-bf16-340ffcd4a994,Altona,altona,Q1630,Altona,24,name_exact|p31_settlement|coords_eu_il|country_DE|has_sitelinks|search_rank_1,Q443946,Altona,21,manual,"[{""qid"": ""Q1630"", ""label"": ""Altona"", ""desc"": ""Bezirk in Hamburg, ehemals eigenständige Stadt"", ""score"": 24}, {""qid"": ""Q443946"", ""label"": ""Altona"", ""desc"": ""suburb of Melbourne, Australia"", ""score"": 21}, {""qid"": ""Q27530903"", ""label"": ""Altona"", ""desc"": ""ehemals selbstständige Stadt in Holstein"", ""score"": 14}, {""qid"": ""Q402754"", ""label"": ""Altona"", ""desc"": ""Ort in Manitoba, Kanada"", ""score"": 13}, {""qid"": ""Q50368955"", ""label"": ""Altona"", ""desc"": ""שם משפחה (Altona)"", ""score"": 11}, {""qid"": ""Q444031"", ""label"": ""Altonaer FC von 1893"", ""desc"": ""association football club in Germany"", ""score"": 10}, {""qid"": ""Q157421"", ""label"": ""850 Altona"", ""desc"": ""אסטרואיד"", ""score"": 6}, {""qid"": ""Q2671188"", ""label"": ""אלטונה"", ""desc"": ""כפר באילינוי, ארצות הברית"", ""score"": 6}]"
f5437165-df05-45b7-b2fa-d7ff2c8ebec9,Amsterdam,amsterdam,Q727,Amsterdam,26,name_exact|p31_settlement|coords_eu_il|country_NL|has_sitelinks|search_rank_0,Q9899,Amsterdam,20,auto,"[{""qid"": ""Q727"", ""label"": ""Amsterdam"", ""desc"": ""capital and most populous city of the Netherlands"", ""score"": 26}, {""qid"": ""Q9899"", ""label"": ""Amsterdam"", ""desc"": ""municipality in the Netherlands, containing the cities of Amsterdam and Weesp"", ""score"": 20}, {""qid"": ""Q37471983"", ""label"": ""Amsterdam"", ""desc"": ""family name"", ""score"": 13}, {""qid"": ""Q3152900"", ""label"": ""Amsterdam"", ""desc"": ""place in Mpumalanga, South Africa"", ""score"": 13}, {""qid"": ""Q478456"", ""label"": ""אמסטרדם"", ""desc"": ""city in Montgomery County in the state of New York, USA"", ""score"": 10}, {""qid"": ""Q1820897"", ""label"": ""Amsterdam-Museum"", ""desc"": ""Museum der Stadtgeschichte von Amsterdam"", ""score"": 9}, {""qid"": ""Q122781"", ""label"": ""Amsterdam"", ""desc"": ""שיר של ז'אק ברל"", ""score"": 7}, {""qid"": ""Q20857801"", ""label"": ""Amsterdam"", ""desc"": ""2015 live album by Phish"", ""score"": 7}]"
35460b7c-0ede-4ed5-96df-cd6529e2e1f2,Anklam,anklam,Q488513,Anklam,26,name_exact|p31_settlement|coords_eu_il|country_DE|has_sitelinks|search_rank_0,Q10412252,Anklam,20,auto,"[{""qid"": ""Q488513"", ""label"": ""Anklam"", ""desc"": ""town in the Vorpommern-Greifswald District, Mecklenburg-Western Pomerania, Germany"", ""score"": 26}, {""qid"": ""Q10412252"", ""label"": ""Anklam"", ""desc"": ""settlement in Sjöbo Municipality,Sweden"", ""score"": 20}, {""qid"": ""Q4766078"", ""label"": ""Anklam railway station"", ""desc"": ""railway station in Germany"", ""score"": 17}, {""qid"": ""Q1408508"", ""label"": ""Anklam airfield"", ""desc"": ""aerodrome in Germany"", ""score"": 13}, {""qid"": ""Q127429553"", ""label"": ""Anklam"", ""desc"": ""The mint(s) at the City of Anklam, National State of Mecklenburg-Vorpommern, Germany"", ""score"": 10}, {""qid"": ""Q117068913"", ""label"": ""Anklam"", ""desc"": ""dredger built in 1956"", ""score"": 5}]"
e8862065-19f4-47fd-8762-e1c6082e6b80,Arad,arad,Q173591,Arad,26,name_exact|p31_settlement|coords_eu_il|country_RO|has_sitelinks|search_rank_0,Q152473,Arad,22,auto,"[{""qid"": ""Q173591"", ""label"": ""Arad"", ""desc"": ""city in Arad County, Romania"", ""score"": 26}, {""qid"": ""Q152473"", ""label"": ""Arad"", ""desc"": ""Stadt in Israel"", ""score"": 22}, {""qid"": ""Q179559"", ""label"": ""Arad County"", ""desc"": ""county in Romania"", ""score"": 15}, {""qid"": ""Q2583788"", ""label"": ""Aradidae"", ""desc"": ""family of insects"", ""score"": 12}, {""qid"": ""Q4783610"", ""label"": ""Arad"", ""desc"": ""Bahnhof in Rumänien"", ""score"": 12}, {""qid"": ""Q16147855"", ""label"": ""Arad"", ""desc"": ""Familienname"", ""score"": 9}, {""qid"": ""Q384585"", ""label"": ""Arad"", ""desc"": ""עיר באיראן"", ""score"": 9}, {""qid"": ""Q107448247"", ""label"": ""Arad"", ""desc"": ""שם משפחה"", ""score"": 5}, {""qid"": ""Q4783637"", ""label"": ""Aradus"", ""desc"": ""genus of insects"", ""score"": 4}]"
56696be2-7272-4625-9077-b21d7c363d08,Augsburg,augsburg,Q2749,Augsburg,26,name_exact|p31_settlement|coords_eu_il|country_DE|has_sitelinks|search_rank_0,Q760516,Augsburg University,14,auto,"[{""qid"": ""Q2749"", ""label"": ""Augsburg"", ""desc"": ""city in Bavaria, Germany"", ""score"": 26}, {""qid"": ""Q760516"", ""label"": ""Augsburg University"", ""desc"": ""university in Minneapolis, USA"", ""score"": 14}, {""qid"": ""Q15755"", ""label"": ""אאוגסבורג"", ""desc"": ""מועדון כדורגל גרמני"", ""score"": 12}, {""qid"": ""Q50332861"", ""label"": ""Augsburg"", ""desc"": ""Familienname"", ""score"": 11}, {""qid"": ""Q10414"", ""label"": ""מחוז אאוגסבורג"", ""desc"": ""מחוז בשוואביה, גרמניה"", ""score"": 11}, {""qid"": ""Q760513"", ""label"": ""Fregatte Augsburg"", ""desc"": ""Fregatte der Bremen-Klasse (F122)"", ""score"": 8}]"
a2d5e34f-5279-401b-9a04-50c6551bce79,Bamberg,bamberg,Q3936,Bamberg,24,name_exact|p31_settlement|coords_eu_il|has_sitelinks|search_rank_0,Q805942,Bamberg,15,auto,"[{""qid"": ""Q3936"", ""label"": ""Bamberg"", ""desc"": ""town in Bavaria, Germany"", ""score"": 24}, {""qid"": ""Q805942"", ""label"": ""Bamberg"", ""desc"": ""city in South Carolina"", ""score"": 15}, {""qid"": ""Q20519441"", ""label"": ""Bamberg"", ""desc"": ""family name"", ""score"": 13}, {""qid"": ""Q800444"", ""label"": ""Bahnhof Bamberg"", ""desc"": ""Bahnhof in Oberfranken, Deutschland"", ""score"": 13}, {""qid"": ""Q1007957"", ""label"": ""Bamberg"", ""desc"": ""federal electoral district of Germany"", ""score"": 12}, {""qid"": ""Q1357461"", ""label"": ""Ernst Bamberg"", ""desc"": ""German biophysicist"", ""score"": 10}, {""qid"": ""Q21493428"", ""label"": ""Bamberger"", ""desc"": ""family name"", ""score"": 4}]"
1e543f86-ba73-4154-b5b1-f7dd1ba1316e,Basel,basel,Q78,Basel,26,name_exact|p31_settlement|coords_eu_il|country_CH|has_sitelinks|search_rank_0,Q37467127,Basel,15,auto,"[{""qid"": ""Q78"", ""label"": ""Basel"", ""desc"": ""city on the Rhine in Switzerland"", ""score"": 26}, {""qid"": ""Q37467127"", ""label"": ""Basel"", ""desc"": ""family name"", ""score"": 15}, {""qid"": ""Q660776"", ""label"": ""Kanton Basel"", ""desc"": ""Schweizer Kanton von 1501 bis 1833"", ""score"": 15}, {""qid"": ""Q12172"", ""label"": ""Kanton Basel-Stadt"", ""desc"": ""(Halb-)Kanton der Schweiz"", ""score"": 13}, {""qid"": ""Q1130368"", ""label"": ""Basella alba"", ""desc"": ""species of plant"", ""score"": 10}, {""qid"": ""Q812747"", ""label"": ""Başel"", ""desc"": ""male given name"", ""score"": 9}, {""qid"": ""Q372608"", ""label"": ""University of Basel"", ""desc"": ""public university in Basel, Switzerland"", ""score"": 9}, {""qid"": ""Q12146"", ""label"": ""Kanton Basel-Landschaft"", ""desc"": ""(Halb-)Kanton der Schweiz"", ""score"": 9}, {""qid"": ""Q133933535"", ""label"": ""Basel"", ""desc"": ""article in Meyer’s Universum, 1847"", ""score"": 7}, {""qid"": ""Q60576346"", ""label"": ""באסל"", ""desc"": ""שם פרטי גברי"", ""score"": 6}]"
36cfc7b5-a33f-4d99-8b90-00628390c1f3,Bayreuth,bayreuth,Q3923,Bayreuth,24,name_exact|p31_settlement|coords_eu_il|has_sitelinks|search_rank_0,Q42592332,Bayreuth,15,auto,"[{""qid"": ""Q3923"", ""label"": ""Bayreuth"", ""desc"": ""medium-sized town in northern Bavaria, Germany"", ""score"": 24}, {""qid"": ""Q42592332"", ""label"": ""Bayreuth"", ""desc"": ""family name"", ""score"": 15}, {""qid"": ""Q10439"", ""label"": ""מחוז ביירוית"", ""desc"": ""מחוז בפרנקוניה עילית, גרמניה"", ""score"": 15}, {""qid"": ""Q1007963"", ""label"": ""Bayreuth"", ""desc"": ""federal electoral district of Germany"", ""score"": 14}, {""qid"": ""Q702482"", ""label"": ""University of Bayreuth"", ""desc"": ""university in Germany"", ""score"": 13}, {""qid"": ""Q76891259"", ""label"": ""Bayreuth"", ""desc"": ""historic building in Auckland, New Zealand"", ""score"": 7}]"
ffcd6223-437b-4f70-99dd-da87cd7defb6,Berlin,berlin,Q64,Berlin,24,name_exact|p31_settlement|coords_eu_il|has_sitelinks|search_rank_0,Q2660845,Berlin,15,auto,"[{""qid"": ""Q64"", ""label"": ""Berlin"", ""desc"": ""federated state, capital and largest city of Germany"", ""score"": 24}, {""qid"": ""Q2660845"", ""label"": ""Berlin"", ""desc"": ""family name"", ""score"": 15}, {""qid"": ""Q1086827"", ""label"": ""Berlin"", ""desc"": ""borough in Camden County, New Jersey, United States"", ""score"": 13}, {""qid"": ""Q821199"", ""label"": ""Berlin"", ""desc"": ""town in Hartford County, Connecticut, United States"", ""score"": 11}, {""qid"": ""Q821198"", ""label"": ""Berlin"", ""desc"": ""US-amerikanische Band"", ""score"": 9}]"
ec5ea056-b150-4d4c-bfdc-150e8daaf4cb,Bernburg,bernburg,Q14938,Bernburg,26,name_exact|p31_settlement|coords_eu_il|country_DE|has_sitelinks|search_rank_0,Q23933722,Bernburg Hauptbahnhof,17,auto,"[{""qid"": ""Q14938"", ""label"": ""Bernburg"", ""desc"": ""town in the Salzland Rural District, Saxony-Anhalt, Germany"", ""score"": 26}, {""qid"": ""Q23933722"", ""label"": ""Bernburg Hauptbahnhof"", ""desc"": ""railway station in Bernburg, Germany"", ""score"": 17}, {""qid"": ""Q114157"", ""label"": ""Bernburg"", ""desc"": ""מחוז בסקסוניה-אנהלט, גרמניה"", ""score"": 16}, {""qid"": ""Q64913286"", ""label"": ""Bernburg"", ""desc"": ""family name"", ""score"": 15}, {""qid"": ""Q56755063"", ""label"": ""Bernburg-Strenzfeld railway stop"", ""desc"": ""railway stop in Germany"", ""score"": 11}, {""qid"": ""Q56755062"", ""label"": ""Bahnhof Bernburg-Waldau"", ""desc"": ""Bahnhof in Bernburg (Saale) in Sachsen-Anhalt"", ""score"": 9}, {""qid"": ""Q83645710"", ""label"": ""Bernburg"", ""desc"": ""ship built in 1967"", ""score"": 7}]"
