nid,tid
1953,412
1954,412
1958,412
1959,412
1960,412
1961,412
1962,412
1963,412
1964,412
1966,412
1970,412
1971,412
1975,412
1976,412
1977,412
1978,412
1979,412
1980,412
1981,412
1982,412
1987,412
1988,412
1990,412
1991,412
1992,412
1993,412
1994,412
1995,412
1996,510
1997,412
1998,412
1999,412
2000,412
2001,412
2002,412
2003,412
2004,412
2006,525
2007,412
2008,412
2009,412
2010,412
2012,412
2013,412
2015,525
2017,412
2018,412
2022,412
2023,412
2025,525
2026,412
2027,510
2028,412
2030,412
2031,412
2032,510
2039,412
2040,412
2041,412
2042,412
2044,412
2046,412
2047,412
2048,412
2049,412
2050,412
2052,412
2053,412
2054,412
2055,525
2056,412
2057,412
2058,412
2059,412
2060,412
2061,412
2062,412
2063,412
2064,412
2067,412
2068,412
2069,412
2070,412
2071,412
2072,412
2073,412
2074,525
2075,525
2076,525
2077,525
2078,525
2079,525
2080,525
2081,525
2082,525
2083,525
2084,525
2085,525
2086,525
2089,525
2091,525
2094,525
2097,525
2098,525
2099,525
2100,525
2101,525
2105,525
2107,525
2108,525
2109,525
2110,525
2112,525
2113,525
2114,525
2115,525
2116,525
2117,525
2118,525
2119,525
2120,525
2121,510
2122,525
2123,525
2124,525
2125,525
2126,525
2127,525
2128,525
2129,525
2130,525
2131,525
2133,525
2134,525
2135,412
2136,412
2137,525
2138,525
2139,525
2140,525
2141,525
2142,525
2143,525
2144,525
2145,525
2146,525
2147,525
2148,525
2149,525
2150,525
2151,525
2152,412
2153,412
2154,525
2155,525
2156,525
2157,525
2158,525
2159,525
2161,525
2162,525
2164,525
2165,525
2166,525
2167,525
2168,525
2169,525
2170,525
2171,525
2172,525
2173,525
2174,412
2175,525
2176,525
2177,525
2178,525
2179,525
2181,525
2182,525
2183,525
2184,525
2185,525
2186,525
2187,525
2189,525
2190,525
2191,525
2192,525
2193,525
2194,525
2195,525
2196,525
2198,525
2199,525
2200,525
2201,525
2202,525
2203,525
2204,525
2205,525
2206,525
2207,525
2208,525
2209,525
2210,525
2211,525
2213,525
2214,525
2215,525
2216,412
2217,525
2218,510
2219,525
2220,525
2221,412
2222,525
2223,525
2224,525
2225,525
2226,525
2227,525
2228,525
2229,525
2230,525
2231,525
2232,525
2233,510
2234,525
2235,525
2236,525
2237,525
2239,525
2240,525
2241,525
2242,525
2243,525
2245,525
2247,525
2248,525
2249,525
2250,525
2252,525
2253,525
2254,525
2255,525
2256,525
2258,525
2259,525
2260,525
2262,525
2263,525
2264,525
2265,525
2266,525
2267,525
2268,525
2269,525
2270,525
2271,525
2272,525
2273,525
2274,525
2276,525
2277,525
2278,525
2279,525
2280,525
2281,525
2282,525
2283,525
2284,525
2285,525
2286,525
2287,525
2289,525
2290,525
2291,525
2292,525
2293,525
2294,525
2295,525
2296,525
2297,525
2298,525
2299,525
2300,525
2302,525
2303,525
2304,525
2305,525
2307,525
2309,525
2312,525
2313,525
2314,525
2316,525
2317,525
2318,525
2319,525
2320,525
2321,525
2322,525
2323,525
2324,525
2325,525
2326,525
2327,525
2328,525
2329,525
2330,525
2331,525
2332,525
2333,525
2334,525
2335,525
2336,525
2337,525
2338,525
2339,525
2340,525
2343,525
2344,525
2345,525
2346,525
2347,525
2348,525
2349,525
2350,525
2351,525
2352,525
2353,525
2354,525
2355,525
2356,525
2358,525
2359,525
2360,525
2361,525
2362,525
2363,525
2364,525
2365,525
2366,525
2367,525
2368,525
2369,525
2370,525
2371,525
2372,525
2373,525
2374,525
2375,525
2376,525
2378,525
2379,525
2380,525
2381,525
2383,525
2384,525
2385,525
2386,525
2387,525
2388,525
2389,525
2390,525
2391,525
2393,525
2394,525
2395,525
2396,510
2398,525
2399,525
2400,525
2401,525
2402,510
2403,525
2404,525
2405,525
2406,525
2407,525
2408,412
2409,412
2410,525
2411,525
2412,525
2413,525
2414,412
2415,525
2416,525
2417,525
2418,525
2419,525
2420,525
2421,525
2422,525
2423,525
2424,525
2425,525
2427,525
2428,525
2429,525
2430,525
2431,525
2432,525
2433,525
2434,525
2436,412
2438,412
2440,412
2441,525
2442,525
2443,525
2444,525
2445,525
2446,525
2447,525
2448,412
2449,510
2451,525
2452,412
2453,525
2454,525
2455,525
2456,525
2457,525
2458,525
2459,525
2460,525
2461,525
2462,525
2463,525
2464,510
2465,525
2467,412
2468,412
2469,412
2470,525
2471,510
2472,525
2473,525
2474,525
2475,525
2476,525
2477,525
2478,525
2479,510
2480,412
2481,412
2482,525
2483,412
2484,525
2485,525
2486,525
2487,525
