tid,vid,name,description,field_geolocation_lat,field_geolocation_lng,field_geolocation_lat_sin,field_geolocation_lat_cos,field_geolocation_lng_rad
1,1,Altona,,53.55,9.93333,0.80437563527008,0.59412106290204,0.17336931418713
2,1,Altstadt,,53.62805,11.41582,0.80518421791964,0.59302476779064,0.19924364581502
3,1,Amsterdam,,52.37403,4.88969,0.79201300635672,0.61050421600656,0.085341189901842
4,1,Anklam,,53.85637,13.68965,0.8075409842233,0.58981146038345,0.23892946594564
5,1,Anspach,,50.30107,8.5102,0.76941148391641,0.63875344884983,0.14853101000322
6,1,Arad,,46.33333,21.75,0.72336892246227,0.69046173102915,0.37960911230877
7,1,Arnswalde,,,,,,
8,1,Augsburg,,48.36733,10.89213,0.74741939884762,0.66435249847221,0.19010353105525
9,1,Bamberg,,49.8934,10.89115,0.76484719812802,0.64421173810768,0.19008642682858
10,1,Barcelona,,41.38879,2.15899,0.66116509237946,0.75024044187104,0.037681484017632
11,1,Basel,,47.55773,7.59361,0.73795767266777,0.67484699995686,0.13253349661237
12,1,Bayreuth,,49.94782,11.57893,0.76545873061593,0.64348498950935,0.20209045235795
13,1,Berditchev,,,,,,
14,1,Berlin,,52.52437,13.41053,0.79361219712099,0.60842393163057,0.23405790293748
15,1,Bern,,46.94761,7.40645,0.73072979167524,0.68266680859572,0.12926693838433
16,1,Bernburg,,51.79464,11.7401,0.78579903784911,0.6184819092871,0.20490339951339
17,1,Bialystok,,,,,,
18,1,Bidschow,,,,,,
19,1,Bielau,,,,,,
20,1,Bielefeld,,52.03333,8.53333,0.78836876176631,0.61520297095435,0.14893470465921
21,1,Bielitz,,,,,,
22,1,Bleicherode,,51.44026,10.57202,0.78195866064678,0.62333029209199,0.18451655758669
23,1,Böhmisch Leipa,,,,,,
24,1,Bonn,,50.73438,7.09549,0.77422012690895,0.63291642030294,0.12383966254233
25,1,Bourdeaux,,44.58639,5.13444,0.70198389901077,0.71219281485398,0.089612883246098
26,1,Brandenburg,,52.33333,13.2,0.79157913550729,0.61106666758181,0.23038346126325
27,1,Braunschweig,,52.26471,10.52333,0.79084672708222,0.61201425985294,0.18366675677389
28,1,Breslau,,51.1,17.03333,0.77824314852602,0.62796305764934,0.29728769107873
29,1,Brest,,52.09755,23.68775,0.78905781693004,0.61431894121995,0.41342922988929
30,1,Brieg,,,,,,
31,1,Brno,,49.19522,16.60796,0.75694054026778,0.65348375534448,0.28986358403952
