nid,vid,type,title,status,created,changed,uid,book_target_id,edition_changes,edition_changes_format,edition_city_tid,edition_references,edition_references_format,edition_year,edition_year_format
2507,2507,edition,An die Herausgeber des hebräischen Sammlers über die frühe Beerdigung der Juden - 1788,1,1428490248,1428490248,1,1956,"2. verbesserte und vermehrte Auflage [Voß und Sohn], 60 S.",,14.0,,,1788,
2508,2508,edition,Etwas zur Charackteristick der Juden - 1994,1,1428490248,1428490248,1,1994,,,,,,1994,
2509,2509,edition,Gebete der hochdeutschen und polnischen Juden - 1799,1,1428490248,1428490248,1,1997,,,14.0,,,1799,
2510,2510,edition,Gebete der hochdeutschen und polnischen Juden - 1813,1,1428490248,1428490248,1,1997,,,273.0,,,1813,
2511,2511,edition,Gebete der hochdeutschen und polnischen Juden - 1815,1,1428490248,1428490248,1,1997,,,273.0,,,1815,
2512,2512,edition,Gebete der hochdeutschen und polnischen Juden - 1817,1,1428490248,1428490248,1,1997,,,14.0,,,1817,
2513,2513,edition,Ueber die Verbesserung des Judenthums - 1808,1,1428490248,1428490248,1,2059,"החיבור הודפס מחדש ב- 1808 בכתב העת
Sulamith",,,,,1808,
2514,2514,edition,"אבטליון - תק""ן",1,1428490248,1428490248,1,2074,,,14.0,DJKJLH,,"תק""ן",
2515,2515,edition,אבטליון - 1800,1,1428490248,1428490248,1,2074,"אנטון שמיד, משופרת ומורחבת",,273.0,DJKJLH,,1800,
2516,2516,edition,אבטליון - 1806,1,1428490248,1428490248,1,2074,הרבישע ערבן?,,204.0,DJKJLH,,1806,
2517,2517,edition,אבטליון - 1814,1,1428490248,1428490248,1,2074,"אנטון שמיד, משופרת ומורחבת",,273.0,DJKJLH,,1814,
2518,2518,edition,אגדת ארבע כוסות - 1790,1,1428490248,1428490248,1,2076,,,14.0,,,1790,
2519,2519,edition,"אגדת ארבע כוסות - תקס""ה (1805)",1,1428490248,1428490248,1,2076,,,287.0,,,"תקס""ה (1805)",
2520,2520,edition,אגדת ארבע כוסות - 1809,1,1428490248,1428490248,1,2076,,,273.0,,,1809,
2521,2521,edition,אגדת ארבע כוסות - 1817,1,1428490248,1428490248,1,2076,,,3.0,,,1817,
2522,2522,edition,אגדת ארבע כוסות - 1826,1,1428490248,1428490248,1,2076,,,108.0,,,1826,
2523,2523,edition,אגדת ארבע כוסות - 1834,1,1428490248,1428490248,1,2076,,,274.0,,,1834,
2524,2524,edition,אגדת ארבע כוסות - 1854,1,1428490248,1428490248,1,2076,,,140.0,,,1854,
2525,2525,edition,אגדת ארבע כוסות - 1860,1,1428490248,1428490248,1,2076,,,273.0,,,1860,
2526,2526,edition,אגדת ארבע כוסות - 1863,1,1428490248,1428490248,1,2076,מהדורת יונה ווילהיימר,,273.0,,,1863,
2527,2527,edition,"אגדת ארבע כוסות - תרכ""ד",1,1428490248,1428490248,1,2076,"בעריכת דוד סלוצקי וי""ד טומפאווסקי",,276.0,,,"תרכ""ד",
2528,2528,edition,אגדת ארבע כוסות - 1881,1,1428490248,1428490248,1,2076,,,276.0,,,1881,
2529,2529,edition,"אגדת ארבע כוסות - תרנ""ד",1,1428490248,1428490248,1,2076,,,276.0,,,"תרנ""ד",
2530,2530,edition,אגדת ארבע כוסות - 1967,1,1428490248,1428490248,1,2076,,,254.0,,,1967,
2531,2531,edition,"בית הספר א - תקס""ב",1,1428490248,1428490248,1,2107,,,273.0,,,"תקס""ב",
2532,2532,edition,"בית הספר א - תקס""ו",1,1428490248,1428490248,1,2107,(חלק א'+ב'),,273.0,,,"תקס""ו",
2533,2533,edition,"בית הספר א - תקס""ט",1,1428490248,1428490248,1,2107,(א'+ב'),,273.0,,,"תקס""ט",
2534,2534,edition,"בית הספר א - תקע""א",1,1428490248,1428490248,1,2107,(חלק א'+ב'),,273.0,,,"תקע""א",
2535,2535,edition,בית הספר א - 1816,1,1428490248,1428490248,1,2107,(חלק א'+ב'),,273.0,,,1816,
2536,2536,edition,בית הספר א - 1820,1,1428490248,1428490248,1,2107,(חלק א'+ב'),,273.0,,,1820,
2537,2537,edition,בית הספר א - 1825,1,1428490248,1428490248,1,2107,(עם תרגום לאיטלקית של ליאון ר' ראמאניני),,273.0,,,1825,
2538,2538,edition,בית הספר א - 1827,1,1428490248,1428490248,1,2107,"א'+ב', נדפס פעם שביעית",,273.0,,,1827,
2539,2539,edition,בית הספר א - 1836,1,1428490248,1428490248,1,2107,"א'+ב', נדפס פעם שמינית",,273.0,,,1836,
2540,2540,edition,בית הספר א - 1842,1,1428490248,1428490248,1,2107,"א'+ב', עברית וגרמנית. תרגום: מענדל בר""י שטערן",,273.0,,,1842,
2541,2541,edition,בית הספר א - 1849,1,1428490248,1428490248,1,2107,(חלק א'+ב'),,273.0,,,1849,
2542,2542,edition,בית הספר א - 1849,1,1428490248,1428490248,1,2107,[גרמנית באותיות עבריות. שכתוב והרחבה  של ישראל (איזידאר) בוש],,273.0,,,1849,
2543,2543,edition,בית הספר א - 1851,1,1428490248,1428490248,1,2107,"[עברית, יידיש וגרמנית. שכתוב והרחבה ישראל (איזידאר) בוש]",,273.0,,,1851,
2544,2544,edition,בית הספר א - 1851,1,1428490248,1428490248,1,2107,"[שכתוב והרחבה ישראל 
(איזידאר) בוש. כולל חלק מלימודי המישרים]",,276.0,,,1851,
2545,2545,edition,בית הספר א - 1865,1,1428490248,1428490248,1,2107,עם תרגום לאיטלקית,,273.0,,,1865,
2546,2546,edition,"בית הספר א - תרל""א",1,1428490248,1428490248,1,2107,(עברית ורוסית. תרגום יעקב בן ישראל פאפירנא),,276.0,,,"תרל""א",
2547,2547,edition,"בית הספר א - תרל""ג",1,1428490248,1428490248,1,2107,(עברית ורוסית. תרגום יעקב בן ישראל פאפירנא),,276.0,,,"תרל""ג",
2548,2548,edition,בית הספר א - 1874,1,1428490248,1428490248,1,2107,עם תרגום חלקי לגרמנית באותיות עבריות של מנדל בן יצחק שטרן,,140.0,,,1874,
2549,2549,edition,בית הספר א - 1883,1,1428490248,1428490248,1,2107,(תרגום יעקב בן ישראל פאפירנא. הוצאה רביעית עם תיקונים והוספות רבות),,276.0,,,1883,
2550,2550,edition,בית הספר א - 1883,1,1428490248,1428490248,1,2107,(חלק א'+ב'),,140.0,,,1883,
2551,2551,edition,בית הספר א - 1898,1,1428490248,1428490248,1,2107,(תרגום יעקב בן ישראל פאפירנא. הוצאה רביעית עם תיקונים והוספות רבות),,276.0,,,1898,
2552,2552,edition,"בית הספר ב - תקס""ו",1,1428490248,1428490248,1,2108,(חלק א'+ב'),,273.0,IUL,,"תקס""ו",
2553,2553,edition,"בית הספר ב - תקס""ט",1,1428490248,1428490248,1,2108,(א'+ב'),,273.0,IUL,,"תקס""ט",
2554,2554,edition,"בית הספר ב - תקע""א",1,1428490248,1428490248,1,2108,(חלק א'+ב'),,273.0,IUL,,"תקע""א",
2555,2555,edition,בית הספר ב - 1816,1,1428490248,1428490248,1,2108,(חלק א'+ב'),,273.0,IUL,,1816,
2556,2556,edition,בית הספר ב - 1820,1,1428490248,1428490248,1,2108,(חלק א'+ב'),,273.0,IUL,,1820,
2557,2557,edition,בית הספר ב - 1827,1,1428490248,1428490248,1,2108,"(חלק א'+ב', נדפס פעם שביעית)",,273.0,IUL,,1827,
2558,2558,edition,בית הספר ב - 1836,1,1428490248,1428490248,1,2108,(חלק א'+ב'),,273.0,IUL,,1836,
2559,2559,edition,בית הספר ב - 1842,1,1428490248,1428490248,1,2108,"(א'+ב', עברית וגרמנית. תרגום: מענדל בר""י שטערן)",,273.0,IUL,,1842,
2560,2560,edition,בית הספר ב - 1849,1,1428490248,1428490248,1,2108,(חלק א'+ב'),,273.0,IUL,,1849,
2561,2561,edition,בית הספר ב - 1851,1,1428490248,1428490248,1,2108,[שכתוב והרחבה ישראל (איזידאר) בוש. כולל חלק מלימודי המישרים],,276.0,IUL,,1851,
2562,2562,edition,בית הספר ב - 1874,1,1428490248,1428490248,1,2108,"(א'+ב', עם תרגום חלקי לגרמנית באותיות פאפירנא. הוצאה רביעית עם תיקונים והוספות רבות)",,140.0,IUL,,1874,
2563,2563,edition,בית הספר ב - 1883,1,1428490248,1428490248,1,2108,(חלק א'+ב'),,140.0,IUL,,1883,
2564,2564,edition,"גבעטי דער יודן אויף דאס גאנצי יאהר - תקמ""ו",1,1428490248,1428490248,1,2116,,,14.0,בית עקד ספרים,,"תקמ""ו",
2565,2565,edition,"גבעטי דער יודן אויף דאס גאנצי יאהר - תקנ""ו",1,1428490248,1428490248,1,2116,,,35.0,בית עקד ספרים,,"תקנ""ו",
2566,2566,edition,"גבעטי דער יודן אויף דאס גאנצי יאהר - תק""ס",1,1428490248,1428490248,1,2116,,,,בית עקד ספרים,,"תק""ס",
2567,2567,edition,"גבעטי דער יודן אויף דאס גאנצי יאהר - תקס""ז",1,1428490248,1428490248,1,2116,,,,בית עקד ספרים,,"תקס""ז",
2568,2568,edition,"דברי שלום ואמת א - תקמ""ב",1,1428490248,1428490248,1,2125,,,14.0,,,"תקמ""ב",
2569,2569,edition,"דברי שלום ואמת א - תקפ""ז",1,1428490248,1428490248,1,2125,במהדורת וינה צורף גם מאמר חקור דין.,,273.0,,,"תקפ""ז",
2570,2570,edition,"דברי שלום ואמת א - תרמ""ו",1,1428490248,1428490248,1,2125,מהדורת ורשה כוללת את תולדות המחבר.,,276.0,בית עקד ספרים,,"תרמ""ו",
2571,2571,edition,"דברי שלום ואמת ב - תקנ""ד",1,1428490248,1428490248,1,2126,,,14.0,,,"תקנ""ד",
