nid,tid
1952,377
1952,378
1953,336
1954,359
1956,359
1960,359
1962,341
1963,377
1963,378
1964,347
1964,351
1964,357
1966,359
1971,330
1971,387
1974,359
1975,342
1976,324
1977,359
1979,341
1980,337
1980,385
1981,351
1981,352
1982,325
1987,351
1988,377
1988,378
1989,351
1989,352
1991,330
1994,359
1995,351
1995,355
1996,351
1996,358
1999,377
2000,336
2002,335
2003,351
2003,355
2004,351
2007,387
2007,389
2009,341
2010,359
2011,343
2011,345
2012,336
2013,359
2017,387
2017,389
2018,332
2018,334
2022,377
2022,378
2023,336
2023,337
2025,351
2025,353
2026,375
2027,351
2027,352
2027,355
2028,387
2029,377
2029,378
2031,351
2032,385
2039,385
2040,385
2041,341
2044,351
2047,343
2047,344
2048,343
2048,344
2049,341
2052,331
2053,336
2054,341
2055,351
2055,353
2057,345
2058,378
2060,341
2061,359
2062,341
2063,341
2064,336
2067,336
2070,387
2070,389
2071,375
2072,341
2073,380
2073,381
2074,387
2074,389
2075,351
2075,353
2077,332
2077,334
2078,320
2078,321
2079,377
2080,336
2081,332
2083,336
2083,338
2083,339
2084,336
2084,338
2084,339
2085,336
2085,338
2085,339
2086,338
2089,336
2091,328
2091,366
2091,370
2091,372
2098,366
2098,370
2098,385
2101,375
2105,336
2106,336
2107,351
2107,387
2107,389
2108,387
2108,389
2109,336
2109,366
2110,351
2110,357
2112,332
2113,328
2114,325
2114,347
2115,336
2119,336
2123,331
2123,386
2124,331
2124,386
2129,385
2130,342
2131,336
2131,351
2133,320
2133,336
2135,330
2135,387
2136,330
2136,387
2138,338
2138,339
2139,387
2139,389
2141,387
2142,336
2143,338
2143,339
2144,366
2144,370
2145,324
2145,366
2146,324
2146,366
2147,324
2147,366
2148,324
2148,366
2154,351
2154,354
2154,366
2154,370
2154,372
2155,336
2155,342
2156,343
2156,345
2157,336
2158,366
2158,368
2162,332
2162,334
2162,351
2164,332
2164,342
2164,390
2165,324
2168,351
2168,355
2168,366
2168,370
2168,372
2169,324
2170,347
