nid,vid,type,title,status,created,changed,uid,mentionee_target_id,mentionee_city_tid,mentionee_description_tid
2834,2834,mention,"Alexander, Levy - Answer to Mr. Joshua Van Oven’s letters on the present state of the Jewish poor in London - Book's seller - ",1,1428490257,1428490257,1,15,,798.0
2835,2835,mention,"Hoym, Karl Heinrich Graf von (Graf, Minister) - Apologie der Menschenrechte oder philosophisch kritische Beleuchtung der Schrift - Dedication - ",1,1428490257,1428490257,1,234,,799.0
2836,2836,mention,"Gregoire, Henri - Appel à la justice des nations et des rois - Personal Address - ",1,1428490257,1428490257,1,189,,800.0
2837,2837,mention,"Marcus, Benedikt - Bne-Zion - Approbation - Nikolsburg",1,1428490257,1428490257,1,352,182.0,801.0
2838,2838,mention,Stanislaus II. Poniatowski (König von Polen) - Die Juden Oder Die nothwendige Reformation der Juden in der Republik Polen - Dedication - ,1,1428490257,1428490257,1,455,,799.0
2839,2839,mention,Hufnagel - Die Moseide in achtzehn Gesängen - Thanks - ,1,1428490257,1428490257,1,237,,802.0
2840,2840,mention,Spalding - Die Moseide in achtzehn Gesängen - Thanks - ,1,1428490257,1428490257,1,452,,802.0
2841,2841,mention,"Ramler, Karl Wilhelm - Die Psalmen - Personal address - Berlin",1,1428490257,1428490257,1,404,14.0,800.0
2842,2842,mention,"Joseph II. (Kaiser) - Einige jüdische Familienscenen, bey Erblickung des Patents über die Freyheiten, welche die Juden in den kaiserlichen Staaten erhalten haben - Dedication - Vienna",1,1428490257,1428490257,1,273,273.0,799.0
2843,2843,mention,"Friedländer, Rebekka Meyer - Gebete der hochdeutschen und polnischen Juden - Dedication - Königsberg",1,1428490257,1428490257,1,151,121.0,799.0
2844,2844,mention,"Abrahamsen, Moses Levin - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen",1,1428490257,1428490257,1,10,49.0,803.0
2845,2845,mention,Adolphi (Pastor) - Gebete der hochdeutschen und polnischen Juden - Subscriber - Kurland,1,1428490257,1428490257,1,12,131.0,803.0
2846,2846,mention,"Alexander, Abraham - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,13,121.0,803.0
2847,2847,mention,Isaac Aron - Gebete der hochdeutschen und polnischen Juden - Subscriber - Potsdam,1,1428490257,1428490257,1,240,202.0,803.0
2848,2848,mention,"Bamberger, Wolff - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,29,121.0,803.0
2849,2849,mention,"Bartenstein, Joseph - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,31,121.0,803.0
2850,2850,mention,Jüdel Baruch - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin,1,1428490257,1428490257,1,279,14.0,803.0
2851,2851,mention,Below (Münzdirektor) - Gebete der hochdeutschen und polnischen Juden - Subscriber - Kurland,1,1428490257,1428490257,1,42,131.0,803.0
2852,2852,mention,"Bendix, Hirsch Nathan - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,46,14.0,803.0
2853,2853,mention,"Bendix, Levin Nathan - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,48,14.0,803.0
2854,2854,mention,"Bendix, Jeremias - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,47,14.0,803.0
2855,2855,mention,Meyer Bernhard - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,365,121.0,803.0
2856,2856,mention,Wallenrodtsche Bibliothek - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,469,121.0,803.0
2857,2857,mention,"Binge, Abraham - Gebete der hochdeutschen und polnischen Juden - Subscriber - Frankfurt am Main",1,1428490257,1428490257,1,60,72.0,803.0
2858,2858,mention,"Boas, Simon - Gebete der hochdeutschen und polnischen Juden - Subscriber - The Hague",1,1428490257,1428490257,1,63,256.0,803.0
2859,2859,mention,"Borchard, Jacob Isaac - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,70,14.0,803.0
2860,2860,mention,"Bresslau, Löbel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,73,14.0,803.0
2861,2861,mention,"Brug, Lazarus - Gebete der hochdeutschen und polnischen Juden - Subscriber - Breslau",1,1428490257,1428490257,1,74,28.0,803.0
2862,2862,mention,Ezechel Caspar - Gebete der hochdeutschen und polnischen Juden - Subscriber - Prenzlau,1,1428490257,1428490257,1,124,205.0,803.0
2863,2863,mention,"Caspar, Isaac - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,78,121.0,803.0
2864,2864,mention,"Cassel, David - Gebete der hochdeutschen und polnischen Juden - Subscriber - Frankfurt am Main",1,1428490257,1428490257,1,79,72.0,803.0
2865,2865,mention,"David, Joseph Nathan - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen",1,1428490257,1428490257,1,91,49.0,803.0
2866,2866,mention,"David, Meyer Michel (Kammeragent) - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hannover",1,1428490257,1428490257,1,92,91.0,803.0
2867,2867,mention,"Detmold, Anna - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hannover",1,1428490257,1428490257,1,96,91.0,803.0
2868,2868,mention,"Elias, Philipp - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,109,121.0,803.0
2869,2869,mention,Berend Ellerich - Gebete der hochdeutschen und polnischen Juden - Subscriber - Vienna,1,1428490257,1428490257,1,51,273.0,803.0
2870,2870,mention,Abraham Joel Emanuel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,8,121.0,803.0
2871,2871,mention,Heimann Enoch - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,205,121.0,803.0
2872,2872,mention,"Ephraim, Samuel Hirsch - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,114,14.0,803.0
2873,2873,mention,"Ephraim, David - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,113,14.0,803.0
