path,load_functions,to_arg_functions,access_callback,access_arguments,page_callback,page_arguments,delivery_callback,fit,number_parts,context,tab_parent,tab_root,title,title_callback,title_arguments,theme_callback,theme_arguments,type,description,position,weight,include_file
admin,b'',b'',user_access,"b'a:1:{i:0;s:27:""access administration pages"";}'",system_admin_menu_block_page,b'a:0:{}',,1,1,0,,admin,Administration,t,,,a:0:{},6,,,9,modules/system/system.admin.inc
admin/appearance,b'',b'',user_access,"b'a:1:{i:0;s:17:""administer themes"";}'",system_themes_page,b'a:0:{}',,3,2,0,,admin/appearance,Appearance,t,,,a:0:{},6,Select and configure your themes.,left,-6,modules/system/system.admin.inc
admin/appearance/default,b'',b'',user_access,"b'a:1:{i:0;s:17:""administer themes"";}'",system_theme_default,b'a:0:{}',,7,3,0,,admin/appearance/default,Set default theme,t,,,a:0:{},0,,,0,modules/system/system.admin.inc
admin/appearance/disable,b'',b'',user_access,"b'a:1:{i:0;s:17:""administer themes"";}'",system_theme_disable,b'a:0:{}',,7,3,0,,admin/appearance/disable,Disable theme,t,,,a:0:{},0,,,0,modules/system/system.admin.inc
admin/appearance/enable,b'',b'',user_access,"b'a:1:{i:0;s:17:""administer themes"";}'",system_theme_enable,b'a:0:{}',,7,3,0,,admin/appearance/enable,Enable theme,t,,,a:0:{},0,,,0,modules/system/system.admin.inc
admin/appearance/list,b'',b'',user_access,"b'a:1:{i:0;s:17:""administer themes"";}'",system_themes_page,b'a:0:{}',,7,3,1,admin/appearance,admin/appearance,List,t,,,a:0:{},140,Select and configure your theme,,-1,modules/system/system.admin.inc
admin/appearance/settings,b'',b'',user_access,"b'a:1:{i:0;s:17:""administer themes"";}'",drupal_get_form,"b'a:1:{i:0;s:21:""system_theme_settings"";}'",,7,3,1,admin/appearance,admin/appearance,Settings,t,,,a:0:{},132,Configure default and theme specific settings.,,20,modules/system/system.admin.inc
admin/appearance/settings/bartik,b'',b'',_system_themes_access,"b'a:1:{i:0;O:8:""stdClass"":12:{s:8:""filename"";s:25:""themes/bartik/bartik.info"";s:4:""name"";s:6:""bartik"";s:4:""type"";s:5:""theme"";s:5:""owner"";s:45:""themes/engines/phptemplate/phptemplate.engine"";s:6:""status"";s:1:""0"";s:9:""bootstrap"";s:1:""0"";s:14:""schema_version"";s:2:""-1"";s:6:""weight"";s:1:""0"";s:4:""info"";a:16:{s:4:""name"";s:6:""Bartik"";s:11:""description"";s:48:""A flexible, recolorable theme with many regions."";s:7:""package"";s:4:""Core"";s:7:""version"";s:4:""7.36"";s:4:""core"";s:3:""7.x"";s:11:""stylesheets"";a:2:{s:3:""all"";a:3:{s:14:""css/layout.css"";s:28:""themes/bartik/css/layout.css"";s:13:""css/style.css"";s:27:""themes/bartik/css/style.css"";s:14:""css/colors.css"";s:28:""themes/bartik/css/colors.css"";}s:5:""print"";a:1:{s:13:""css/print.css"";s:27:""themes/bartik/css/print.css"";}}s:7:""regions"";a:17:{s:6:""header"";s:6:""Header"";s:4:""help"";s:4:""Help"";s:8:""page_top"";s:8:""Page top"";s:11:""page_bottom"";s:11:""Page bottom"";s:11:""highlighted"";s:11:""Highlighted"";s:8:""featured"";s:8:""Featured"";s:7:""content"";s:7:""Content"";s:13:""sidebar_first"";s:13:""Sidebar first"";s:14:""sidebar_second"";s:14:""Sidebar second"";s:14:""triptych_first"";s:14:""Triptych first"";s:15:""triptych_middle"";s:15:""Triptych middle"";s:13:""triptych_last"";s:13:""Triptych last"";s:18:""footer_firstcolumn"";s:19:""Footer first column"";s:19:""footer_secondcolumn"";s:20:""Footer second column"";s:18:""footer_thirdcolumn"";s:19:""Footer third column"";s:19:""footer_fourthcolumn"";s:20:""Footer fourth column"";s:6:""footer"";s:6:""Footer"";}s:8:""settings"";a:1:{s:20:""shortcut_module_link"";s:1:""0"";}s:6:""engine"";s:11:""phptemplate"";s:8:""features"";a:9:{i:0;s:4:""logo"";i:1;s:7:""favicon"";i:2;s:4:""name"";i:3;s:6:""slogan"";i:4;s:17:""node_user_picture"";i:5;s:20:""comment_user_picture"";i:6;s:25:""comment_user_verification"";i:7;s:9:""main_menu"";i:8;s:14:""secondary_menu"";}s:10:""screenshot"";s:28:""themes/bartik/screenshot.png"";s:3:""php"";s:5:""5.2.4"";s:7:""scripts"";a:0:{}s:5:""mtime"";i:1428502207;s:14:""regions_hidden"";a:2:{i:0;s:8:""page_top"";i:1;s:11:""page_bottom"";}s:28:""overlay_supplemental_regions"";a:1:{i:0;s:11:""page_bottom"";}}s:6:""prefix"";s:11:""phptemplate"";s:11:""stylesheets"";a:2:{s:3:""all"";a:3:{s:14:""css/layout.css"";s:28:""themes/bartik/css/layout.css"";s:13:""css/style.css"";s:27:""themes/bartik/css/style.css"";s:14:""css/colors.css"";s:28:""themes/bartik/css/colors.css"";}s:5:""print"";a:1:{s:13:""css/print.css"";s:27:""themes/bartik/css/print.css"";}}s:6:""engine"";s:11:""phptemplate"";}}'",drupal_get_form,"b'a:2:{i:0;s:21:""system_theme_settings"";i:1;s:6:""bartik"";}'",,15,4,1,admin/appearance/settings,admin/appearance,Bartik,t,,,a:0:{},132,,,0,modules/system/system.admin.inc
admin/appearance/settings/bootstrap,b'',b'',_system_themes_access,"b'a:1:{i:0;O:8:""stdClass"":12:{s:8:""filename"";s:56:""profiles/haskala/themes/contrib/bootstrap/bootstrap.info"";s:4:""name"";s:9:""bootstrap"";s:4:""type"";s:5:""theme"";s:5:""owner"";s:45:""themes/engines/phptemplate/phptemplate.engine"";s:6:""status"";s:1:""0"";s:9:""bootstrap"";s:1:""0"";s:14:""schema_version"";s:2:""-1"";s:6:""weight"";s:1:""0"";s:4:""info"";a:19:{s:4:""name"";s:9:""Bootstrap"";s:11:""description"";s:115:""Built to use Bootstrap, a sleek, intuitive, and powerful front-end framework for faster and easier web development."";s:4:""core"";s:3:""7.x"";s:7:""regions"";a:10:{s:10:""navigation"";s:10:""Navigation"";s:6:""header"";s:7:""Top Bar"";s:11:""highlighted"";s:11:""Highlighted"";s:4:""help"";s:4:""Help"";s:7:""content"";s:7:""Content"";s:13:""sidebar_first"";s:7:""Primary"";s:14:""sidebar_second"";s:9:""Secondary"";s:6:""footer"";s:6:""Footer"";s:8:""page_top"";s:8:""Page top"";s:11:""page_bottom"";s:11:""Page bottom"";}s:8:""settings"";a:38:{s:20:""bootstrap_breadcrumb"";s:1:""1"";s:25:""bootstrap_breadcrumb_home"";s:1:""0"";s:26:""bootstrap_breadcrumb_title"";s:1:""1"";s:25:""bootstrap_navbar_position"";s:0:"""";s:24:""bootstrap_navbar_inverse"";s:1:""0"";s:32:""bootstrap_region_well-navigation"";s:0:"""";s:28:""bootstrap_region_well-header"";s:0:"""";s:33:""bootstrap_region_well-highlighted"";s:0:"""";s:26:""bootstrap_region_well-help"";s:0:"""";s:29:""bootstrap_region_well-content"";s:0:"""";s:35:""bootstrap_region_well-sidebar_first"";s:4:""well"";s:36:""bootstrap_region_well-sidebar_second"";s:0:"""";s:28:""bootstrap_region_well-footer"";s:0:"""";s:21:""bootstrap_anchors_fix"";s:1:""1"";s:34:""bootstrap_anchors_smooth_scrolling"";s:1:""1"";s:25:""bootstrap_popover_enabled"";s:1:""1"";s:27:""bootstrap_popover_animation"";s:1:""1"";s:22:""bootstrap_popover_html"";s:1:""0"";s:27:""bootstrap_popover_placement"";s:5:""right"";s:26:""bootstrap_popover_selector"";s:0:"""";s:25:""bootstrap_popover_trigger"";a:3:{s:7:""\'hover\'"";s:1:""0"";s:7:""\'focus\'"";s:1:""0"";s:7:""\'click\'"";s:5:""click"";}s:23:""bootstrap_popover_title"";s:0:"""";s:25:""bootstrap_popover_content"";s:0:"""";s:23:""bootstrap_popover_delay"";s:1:""0"";s:27:""bootstrap_popover_container"";s:4:""body"";s:25:""bootstrap_tooltip_enabled"";s:1:""1"";s:30:""bootstrap_tooltip_descriptions"";s:1:""1"";s:27:""bootstrap_tooltip_animation"";s:1:""1"";s:22:""bootstrap_tooltip_html"";s:1:""0"";s:27:""bootstrap_tooltip_placement"";s:9:""auto left"";s:26:""bootstrap_tooltip_selector"";s:0:"""";s:25:""bootstrap_tooltip_trigger"";a:3:{s:7:""\'hover\'"";s:5:""hover"";s:7:""\'focus\'"";s:5:""focus"";s:7:""\'click\'"";s:1:""0"";}s:23:""bootstrap_tooltip_delay"";s:1:""0"";s:27:""bootstrap_tooltip_container"";s:4:""body"";s:13:""bootstrap_cdn"";s:5:""3.0.2"";s:20:""bootstrap_bootswatch"";s:0:"""";s:11:""toggle_name"";s:1:""1"";s:13:""toggle_search"";s:1:""1"";}s:7:""exclude"";a:1:{s:3:""css"";a:25:{i:0;s:22:""misc/vertical-tabs.css"";i:1;s:33:""modules/aggregator/aggregator.css"";i:2;s:21:""modules/book/book.css"";i:3;s:27:""modules/comment/comment.css"";i:4;s:23:""modules/dblog/dblog.css"";i:5;s:21:""modules/file/file.css"";i:6;s:25:""modules/filter/filter.css"";i:7;s:23:""modules/forum/forum.css"";i:8;s:21:""modules/help/help.css"";i:9;s:21:""modules/menu/menu.css"";i:10;s:21:""modules/node/node.css"";i:11;s:25:""modules/openid/openid.css"";i:12;s:21:""modules/poll/poll.css"";i:13;s:25:""modules/search/search.css"";i:14;s:33:""modules/statistics/statistics.css"";i:15;s:25:""modules/syslog/syslog.css"";i:16;s:30:""modules/system/maintenance.css"";i:17;s:37:""modules/system/system.maintenance.css"";i:18;s:31:""modules/system/system.menus.css"";i:19;s:34:""modules/system/system.messages.css"";i:20;s:31:""modules/system/system.theme.css"";i:21;s:29:""modules/taxonomy/taxonomy.css"";i:22;s:27:""modules/tracker/tracker.css"";i:23;s:25:""modules/update/update.css"";i:24;s:21:""modules/user/user.css"";}}s:23:""simplytest_dependencies"";a:1:{i:0;s:13:""jquery_update"";}s:7:""version"";s:7:""7.x-3.0"";s:7:""project"";s:9:""bootstrap"";s:9:""datestamp"";s:10:""1384678107"";s:6:""engine"";s:11:""phptemplate"";s:8:""features"";a:9:{i:0;s:4:""logo"";i:1;s:7:""favicon"";i:2;s:4:""name"";i:3;s:6:""slogan"";i:4;s:17:""node_user_picture"";i:5;s:20:""comment_user_picture"";i:6;s:25:""comment_user_verification"";i:7;s:9:""main_menu"";i:8;s:14:""secondary_menu"";}s:10:""screenshot"";s:56:""profiles/haskala/themes/contrib/bootstrap/screenshot.png"";s:3:""php"";s:5:""5.2.4"";s:11:""stylesheets"";a:0:{}s:7:""scripts"";a:0:{}s:5:""mtime"";i:1428502207;s:14:""regions_hidden"";a:2:{i:0;s:8:""page_top"";i:1;s:11:""page_bottom"";}s:28:""overlay_supplemental_regions"";a:1:{i:0;s:11:""page_bottom"";}}s:6:""prefix"";s:11:""phptemplate"";s:10:""sub_themes"";a:1:{s:13:""haskala_theme"";s:27:""Haskala Bootstrap Sub-theme"";}s:6:""engine"";s:11:""phptemplate"";}}'",drupal_get_form,"b'a:2:{i:0;s:21:""system_theme_settings"";i:1;s:9:""bootstrap"";}'",,15,4,1,admin/appearance/settings,admin/appearance,Bootstrap,t,,,a:0:{},132,,,0,modules/system/system.admin.inc
admin/appearance/settings/garland,b'',b'',_system_themes_access,"b'a:1:{i:0;O:8:""stdClass"":12:{s:8:""filename"";s:27:""themes/garland/garland.info"";s:4:""name"";s:7:""garland"";s:4:""type"";s:5:""theme"";s:5:""owner"";s:45:""themes/engines/phptemplate/phptemplate.engine"";s:6:""status"";s:1:""0"";s:9:""bootstrap"";s:1:""0"";s:14:""schema_version"";s:2:""-1"";s:6:""weight"";s:1:""0"";s:4:""info"";a:16:{s:4:""name"";s:7:""Garland"";s:11:""description"";s:111:""A multi-column theme which can be configured to modify colors and switch between fixed and fluid width layouts."";s:7:""package"";s:4:""Core"";s:7:""version"";s:4:""7.36"";s:4:""core"";s:3:""7.x"";s:11:""stylesheets"";a:2:{s:3:""all"";a:1:{s:9:""style.css"";s:24:""themes/garland/style.css"";}s:5:""print"";a:1:{s:9:""print.css"";s:24:""themes/garland/print.css"";}}s:8:""settings"";a:1:{s:13:""garland_width"";s:5:""fluid"";}s:6:""engine"";s:11:""phptemplate"";s:7:""regions"";a:9:{s:13:""sidebar_first"";s:12:""Left sidebar"";s:14:""sidebar_second"";s:13:""Right sidebar"";s:7:""content"";s:7:""Content"";s:6:""header"";s:6:""Header"";s:6:""footer"";s:6:""Footer"";s:11:""highlighted"";s:11:""Highlighted"";s:4:""help"";s:4:""Help"";s:8:""page_top"";s:8:""Page top"";s:11:""page_bottom"";s:11:""Page bottom"";}s:8:""features"";a:9:{i:0;s:4:""logo"";i:1;s:7:""favicon"";i:2;s:4:""name"";i:3;s:6:""slogan"";i:4;s:17:""node_user_picture"";i:5;s:20:""comment_user_picture"";i:6;s:25:""comment_user_verification"";i:7;s:9:""main_menu"";i:8;s:14:""secondary_menu"";}s:10:""screenshot"";s:29:""themes/garland/screenshot.png"";s:3:""php"";s:5:""5.2.4"";s:7:""scripts"";a:0:{}s:5:""mtime"";i:1428502207;s:14:""regions_hidden"";a:2:{i:0;s:8:""page_top"";i:1;s:11:""page_bottom"";}s:28:""overlay_supplemental_regions"";a:1:{i:0;s:11:""page_bottom"";}}s:6:""prefix"";s:11:""phptemplate"";s:11:""stylesheets"";a:2:{s:3:""all"";a:1:{s:9:""style.css"";s:24:""themes/garland/style.css"";}s:5:""print"";a:1:{s:9:""print.css"";s:24:""themes/garland/print.css"";}}s:6:""engine"";s:11:""phptemplate"";}}'",drupal_get_form,"b'a:2:{i:0;s:21:""system_theme_settings"";i:1;s:7:""garland"";}'",,15,4,1,admin/appearance/settings,admin/appearance,Garland,t,,,a:0:{},132,,,0,modules/system/system.admin.inc
