nid,vid,type,title,status,created,changed,uid,date_of_birth,date_of_birth_format,date_of_death,date_of_death_format,gender_tid,german_name,german_name_format,hebrew_name,hebrew_name_format,occupation_tid,place_of_birth_tid,place_of_death_tid,pseudonym,pseudonym_format,viaf_id,viaf_id_format
2,2,person,(Dr. med.) איסטרייכער,1,1428490114,1428490114,1,,,,,,(Dr. med.) איסטרייכער,,איסטרייכער,,,,,,,,
3,3,person,(Dr. med.) ווארבורג,1,1428490114,1428490114,1,,,,,,(Dr. med.) ווארבורג,,ווארבורג,,,,,,,,
4,4,person,(Dr.) בריינערסדארף,1,1428490114,1428490114,1,,,,,,(Dr.) בריינערסדארף,,בריינערסדארף,,,,,,,,
5,5,person,"(Feder)-Guttmann, Tuvia - פדר, טוביה",1,1428490114,1428490114,1,,,,,,,,,,402.0,,,,,,
6,6,person,"Aaron, Joseph Philipp - אהרן, יוסף",1,1428490114,1428490114,1,,,,,,,,,,402.0,,,,,297651133,
7,7,person,Abraham Isaak,1,1428490114,1428490114,1,,,,,,Abraham Isaak,,,,,,,,,313278890,
8,8,person,Abraham Joel Emanuel,1,1428490114,1428490114,1,,,,,,Abraham Joel Emanuel,,,,,,,,,,
9,9,person,Abraham Moses,1,1428490114,1428490114,1,,,,,,Abraham Moses,,Abraham Moses,,,,,,,311844602,
10,10,person,"Abrahamsen, Moses Levin",1,1428490114,1428490114,1,,,,,,"Abrahamsen, Moses Levin",,,,,,,,,,
11,11,person,"Ackord, Elias - אקורד, אליהו",1,1428490114,1428490114,1,,,,,,,,,,402.0,,,,,309708467,
12,12,person,Adolphi (Pastor),1,1428490114,1428490114,1,,,,,,Adolphi (Pastor),,,,,,,,,,
13,13,person,"Alexander, Abraham",1,1428490114,1428490114,1,,,,,,"Alexander, Abraham",,,,,,,,,313382282,
14,14,person,"Alexander, Isaak - אלכסנדר, יצחק",1,1428490114,1428490114,1,,,,,,,,,,402.0,,,,,309507694,
15,15,person,"Alexander, Levy",1,1428490114,1428490114,1,,,,,,"Alexander, Levy",,"אלכסנדר, לוי",,,,,,,311971929,
16,16,person,"Alexander, Levy - אלכסנדר, לוי",1,1428490114,1428490114,1,,,,,,,,,,402.0,,,,,311971929,
17,17,person,Anonym,1,1428490114,1428490114,1,,,,,,,,,,403.0,,,,,313370557,
18,18,person,Anonymous,1,1428490114,1428490114,1,,,,,,,,,,402.0,,,,,313402371,
19,19,person,"Arnstein (Freiherr von), Nathan Adam",1,1428490114,1428490114,1,,,,,,"Arnstein (Freiherr von), Nathan Adam",,"נאטהאן אדאם, פרייהערר פאן ארנשטיין",,,,,,,,
