nid,vid,type,title,status,created,changed,uid,preface_notes,preface_notes_format,preface_number,preface_number_format,preface_title,preface_title_format,preface_writer_target_id
5373,5373,preface,Abhandlung von der Freiheit des Menschen - 2,1,1428490332,1428490332,1,,,2,,Einleitung,filtered_html,14.0
5374,5374,preface,Akten-Stücke die Reform der Jüdischen Kolonieen in den Preußischen Staaten betreffend - 0,1,1428490332,1428490332,1,Einleitung,filtered_html,0,,Einleitung,filtered_html,1947.0
5375,5375,preface,Anfangsgründe der Newtonischen Philosophie - 1,1,1428490332,1428490332,1,,,1,,Vorrede,filtered_html,348.0
5376,5376,preface,Apologie der Menschenrechte oder philosophisch kritische Beleuchtung der Schrift - 1,1,1428490332,1428490332,1,,,1,,Vorrede,filtered_html,224.0
5377,5377,preface,Apologie des juifs en réponse à la question - 0,1,1428490332,1428490332,1,"בהקדמתו מודה זלקינד-הורביץ לאקדמיה של מץ על שהעניקה לו, יחד עם גרגואר ותיירי, פרס על תשובתו לשאלה שהציגה.",filtered_html,0,,Preface,filtered_html,233.0
5378,5378,preface,Appel à la justice des nations et des rois - 0,1,1428490332,1428490332,1,,,0,,Preface,filtered_html,58.0
5379,5379,preface,Aufsätze verschiedenen Inhalts - 1,1,1428490332,1428490332,1,,,1,,Vorrede,filtered_html,45.0
5380,5380,preface,Beyträge zur Kritik des Geschmacks - 1,1,1428490332,1428490332,1,Widmung im März 1797 abgefaßt.,filtered_html,1,,Vorrede,filtered_html,45.0
5381,5381,preface,Der Prediger - 1,1,1428490332,1428490332,1,,,1,,Vorrede,filtered_html,1947.0
5382,5382,preface,Die Juden Oder Die nothwendige Reformation der Juden in der Republik Polen - 0,1,1428490332,1428490332,1,,,0,,Vorrede,filtered_html,11.0
5383,5383,preface,Die Moseide in achtzehn Gesängen - 0,1,1428490332,1428490332,1,,,0,,"Vorrede des Verfassers zur teutschen Ausgabe der Moseide,Vorrede nach dem Hebräischen",filtered_html,480.0
5384,5384,preface,Entwurf einer Geschichte der Armen und Armenanstalten - 0,1,1428490332,1428490332,1,,,0,,Vorbericht,filtered_html,149.0
5385,5385,preface,Etwas zur Charackteristick der Juden - 1,1,1428490332,1428490332,1,,,1,,Vorrede,filtered_html,45.0
5386,5386,preface,Gebete der hochdeutschen und polnischen Juden - 1,1,1428490332,1428490332,1,,,1,,Vorrede,filtered_html,1949.0
5387,5387,preface,Gesammelte Actenstücke und öffentliche Verhandlungen über die Verbesserung der Juden in Frankreich 1 - 0,1,1428490332,1428490332,1,,,0,,Vorwort,filtered_html,
5388,5388,preface,Geschichte der Juden von ihrer Rückkehr aus der babylonischen Gefangenschaft bis zur Zerstörung des zweyten Tempels - 0,1,1428490332,1428490332,1,"Hinweis auf seine Bücher תולדות ישראל
und Kelch des Heils
Ausführliche Verteidigung der Benutzung der deutschen Sprache und deutschen Lettern für das vorliegende Buch",filtered_html,0,,Vorrede,filtered_html,38.0
5389,5389,preface,Gründlicher Unterricht in der Jüdischdeutschen Schreibart - 0,1,1428490332,1428490332,1,,,0,,Einleitung,filtered_html,
5390,5390,preface,Hinterlassene Gedichte 1 - 1,1,1428490332,1428490332,1,,,1,,Vorrede,filtered_html,
5391,5391,preface,Hinterlassene Gedichte 1 - 2,1,1428490332,1428490332,1,,,2,,Einleitung,filtered_html,303.0
5392,5392,preface,Israelitischer Kinderfreund Oder Handbuch der gemeinnützigsten wissenschaftlichen Kenntnisse - 1,1,1428490332,1428490332,1,,,1,,Vorrede: בהקדמה מתאר בוק את מטרות הספר וקהל היעד שלו.,filtered_html,64.0
5393,5393,preface,"Jeschurun, oder unparteyische Beleuchtung der dem Judenthume neuerdings gemachten Vorwürfe - 0",1,1428490332,1428490332,1,"הקדמה בצורת שיר מתוך כתבי גלרט 
Gellert",filtered_html,0,,Statt einer Vorrede,filtered_html,491.0
5394,5394,preface,Letters on the present state of the Jewish poor in the metropolis - 0,1,1428490332,1428490332,1,,,0,,Preface,filtered_html,462.0
5395,5395,preface,Moses Mendelssohns Morgenstunden oder Vorlesungen über das Daseyn Gottes - 0,1,1428490332,1428494236,1,"<p class=""rteleft"" dir=""rtl"">בהקדמתו מספר מנדלסון על מחלת העצבים שמנע ממנו במשך שנים רבות להתעדכן בחידושים בתחום הפילוסופיה, מהם מסתייג במידה רבה ומצהיר כי הינו משתייך לאסכולה ישנה יותר. הוא מתאר כיצד נולד החיבור הזה ומביע את כוונתו לפרסם חלק ב'.</p>
",filtered_html,0,,"<p>Vorbericht</p>
",filtered_html,1577.0
5396,5396,preface,Nahum neu übersetzt und mit Anmerkungen versehen - 1,1,1428490332,1428490332,1,,,1,,Einleitung,filtered_html,380.0
