nid,vid,type,title,status,created,changed,uid,name_in_book,name_in_book_format,person_name_appear,producer_target_id,role_tid
4706,4706,production,"Alexander, Isaak - אלכסנדר, יצחק - Abhandlung von der Freiheit des Menschen - Author",1,1428490312,1428490312,1,,,,14,402.0
4707,4707,production,Anonym - Actenstücke zur Geschichte der Erhebung der Juden zu Bürgern der Republik Batavien - Translator,1,1428490312,1428490312,1,,,,17,403.0
4708,4708,production,"Friedländer, David - פרידלענדר, דוד - Akten-Stücke die Reform der Jüdischen Kolonieen in den Preußischen Staaten betreffend - Author,Mevi La'Dfus (Producer)",1,1428490312,1428490312,1,,,,140,402.0
4709,4709,production,אנונימי - An das Breslauer Publikum - Author,1,1428490312,1428490312,1,,,,690,402.0
4710,4710,production,"Herz, Marcus - הרץ, מרכוס - An die Herausgeber des hebräischen Sammlers über die frühe Beerdigung der Juden - Author",1,1428490312,1428490312,1,,,,213,402.0
4711,4711,production,"Maimon, Salomon - מימון, שלמה - Anfangsgründe der Newtonischen Philosophie - Author",1,1428490312,1428490312,1,,,,348,402.0
4712,4712,production,"Alexander, Levy - אלכסנדר, לוי - Answer to Mr. Joshua Van Oven’s letters on the present state of the Jewish poor in London - Author",1,1428490312,1428490312,1,,,,16,402.0
4713,4713,production,"Hirschel, Moses - הירשל, משה - Apologie der Menschenrechte oder philosophisch kritische Beleuchtung der Schrift - Author",1,1428490312,1428490312,1,,,,224,402.0
4714,4714,production,"Hourwitz, Zalkind - הורביץ, זלקינד - Apologie des juifs en réponse à la question - Author",1,1428490312,1428490312,1,,,,233,402.0
4715,4715,production,"Berr, Michel - בר, מיכאל - Appel à la justice des nations et des rois - Author",1,1428490312,1428490312,1,,,,58,402.0
4716,4716,production,"Bendavid, Lazarus - בנדוד, לצרוס - Aufsätze verschiedenen Inhalts - Author",1,1428490312,1428490312,1,,,,45,402.0
4717,4717,production,"Wohl, Levi - וול, יהודה ליב בן צבי הירש - Balsam für die Wunde - Translator",1,1428490312,1428490312,1,,,,487,403.0
4718,4718,production,"Hurwitz, Philipp Lazarus - הורוויץ, פיליפ לצרוס - Beleuchtung der in den gegenwärtig bei dem Geheimen Ober-Tribunale schwebenden Fränkel-Marcuseschen  - Author",1,1428490312,1428490312,1,,,,239,402.0
4719,4719,production,"Ascher, Saul - אשר, שאול - Bemerkungen über die bürgerliche Verbesserung der Juden - Author",1,1428490312,1428490312,1,,,,28,402.0
4720,4720,production,אנונימי - Betrachtungen in Hinsicht der Jüdischen Nation - Author,1,1428490312,1428490312,1,,,,690,402.0
4721,4721,production,"Bendavid, Lazarus - בנדוד, לצרוס - Beweis, dass heutzutage in den K. K. Staaten die Juden zu Kriegsdienst ebensowohl verpflichtet sind  - Author",1,1428490312,1428490312,1,,,,45,402.0
4722,4722,production,"Bendavid, Lazarus - בנדוד, לצרוס - Beyträge zur Kritik des Geschmacks - Author",1,1428490312,1428490312,1,,,,45,402.0
4723,4723,production,"Bendavid, Lazarus - בנדוד, לצרוס - Bildnisse jetztlebender Berliner Gelehrten mit Ihren Selbstbiographieen - Author",1,1428490312,1428490312,1,,,,45,402.0
4724,4724,production,"Lowe, Johann Michael Siegfried - Bildnisse jetztlebender Berliner Gelehrten mit Ihren Selbstbiographieen - Mevi La'Dfus (Producer)",1,1428490312,1428490312,1,,,,340,405.0
4725,4725,production,"Homberg, Herz - הרץ, הומברג - Bne-Zion - Author",1,1428490312,1428490312,1,,,,226,402.0
4726,4726,production,"Milliaud, Moïse - מיליו, משה - Cantique adresse a Napoleon le Grand, empereur des Francois et roi d'Italie - Author",1,1428490312,1428490312,1,,,,370,402.0
4727,4727,production,"Venture, Mardochée - ונטורה, מרדכי - Cantique des cantiques - Translator",1,1428490312,1428490312,1,,,,464,403.0
4728,4728,production,"Euchel, Isaac Abraham - אייכל, יצחק - Der erste Mensch - Author",1,1428490312,1428490312,1,,,,122,402.0
4729,4729,production,"Ascher, Judas - אשר, יהודה - Der Judenfreund. Oder auserlesene Anekdoten, Schwänke und Einfälle von den Kindern Israels - Author",1,1428490312,1428490312,1,,,,27,402.0
4730,4730,production,"Asch, Abraham - אש, אברהם - Der Messias oder Reform der Juden in religiöser und moralischer Hinsicht - Author",1,1428490312,1428490312,1,,,,26,402.0
4731,4731,production,"Friedländer, David - פרידלענדר, דוד - Der Prediger - Author,Translator",1,1428490312,1428490312,1,,,,140,402.0
4732,4732,production,Anonymous - Der Pseudo-Haman oder Widerlegung der Schrift wider die Juden - Author,1,1428490312,1428490312,1,,,,18,402.0
4733,4733,production,"Ackord, Elias - אקורד, אליהו - Die Juden Oder Die nothwendige Reformation der Juden in der Republik Polen - Author,Translator",1,1428490312,1428490312,1,,,,11,402.0
4734,4734,production,"Jeitteles, Baruch (Benedict) - ייטלש, ברוך - Die Kuhpockenimpfung - Author",1,1428490312,1428490312,1,,,,262,402.0
4735,4735,production,"Wessely, Hartwig - וייזל, נפתלי הרץ - Die Moseide in achtzehn Gesängen - Author",1,1428490312,1428490312,1,,,,480,402.0
4736,4736,production,Spalding - שפלדינג - Die Moseide in achtzehn Gesängen - Translator,1,1428490312,1428490312,1,,,,453,403.0
4737,4737,production,Hufnagel - הופנגל - Die Moseide in achtzehn Gesängen - Translator,1,1428490312,1428490312,1,,,,238,403.0
4738,4738,production,אנונימי - Die Moseide in achtzehn Gesängen - Translator,1,1428490312,1428490312,1,,,,690,403.0
4739,4739,production,"Mendelssohn, Moses - מנדלסון, משה - Die Psalmen - Translator",1,1428490312,1428490312,1,,,,364,403.0
4740,4740,production,"Cologna, Abraham de - קולוניא, אברהם חי די - Discorso pronunziato nella grande sinagoga di Parigi, all'occasione dell'apertura del gran Sanhedrim - Author",1,1428490312,1428490312,1,,,,85,402.0
4741,4741,production,"Furtado, Abraham - פורטאדו, אברהם - Discorso pronunziato nella grande sinagoga di Parigi, all'occasione dell'apertura del gran Sanhedrim - Translator",1,1428490312,1428490312,1,,,,170,403.0
4742,4742,production,"Berr, Isaac Berr - בר, יצחק בר - Discours du Sr. Isaac Berr, Fabricant de tabac, Membre du Conseil municipal de Nancy, Département de - Author",1,1428490312,1428490312,1,,,,57,402.0
4743,4743,production,"Jacobson, Israel - יאקאבזאהן, איזראעל - Discours prononcé dans la Synagogue de Cassel, le 15 Novembre 1810, anniversaire de la naissance de  - Author",1,1428490312,1428490312,1,,,,255,402.0
4744,4744,production,"Jacobson, Israel - יאקאבזאהן, איזראעל - Discours prononcé par M.r Israel Jacobson ... lors de la dédicace du Temple de Jacob à Seesen - Author",1,1428490312,1428490312,1,,,,255,402.0
4745,4745,production,"Büschenthal, Lippmann Moses - בישנטל, ליפמן משה - Ein Psalm an Bonaparte - Author",1,1428490312,1428490312,1,,,,76,402.0
4746,4746,production,"Moses von Gottfried Jakob Schaller - שלר, משה גוטפריד יעקב - Ein Psalm an Bonaparte - Translator",1,1428490312,1428490312,1,,,,374,403.0
4747,4747,production,"Neumann, Israel Moses - נוימן, ישראל משה - Ein Wort zu seiner Zeit, die neuern Ansichten des Pentateuchs betreffend - Author",1,1428490312,1428490312,1,,,,380,402.0
4748,4748,production,"Alexander, Isaak - אלכסנדר, יצחק - Einheitsgedichte - Author",1,1428490312,1428490312,1,,,,14,402.0
4749,4749,production,"Arnstein, Benedict David - ארנשטיין, בנדיקט דוד - Einige jüdische Familienscenen, bey Erblickung des Patents über die Freyheiten, welche die Juden in  - Author",1,1428490312,1428490312,1,,,,20,402.0
4750,4750,production,"Lax, Salomon - לקס, שלמה - Elementarunterricht in der Religion aus der Natur und der heiligen Geschichte - Author",1,1428490312,1428490312,1,,,,307,402.0
4751,4751,production,"Friedländer, Michael - פרידענדר, מיכאל - Entwurf einer Geschichte der Armen und Armenanstalten - Author",1,1428490312,1428490312,1,,,,149,402.0
4752,4752,production,"Dohm, Lewin Benjamin - דוהם, לוין בנימין - Etwas zum Schutz des angegriffenen Gebrauchs der ebräischen Sprache bei den Gebeten der Juden in den - Author",1,1428490312,1428490312,1,,,,101,402.0
4753,4753,production,"Bendavid, Lazarus - בנדוד, לצרוס - Etwas zur Charackteristick der Juden - Author",1,1428490312,1428490312,1,,,,45,402.0
4754,4754,production,אנונימי - Freudenruf bey der gluecklichen Ankunft unseres ... Koenigs Friedrich Wilhelm II - Don't know,1,1428490312,1428490312,1,,,,690,809.0
4755,4755,production,"Levi, Joseph Jasmann ben Joel - לוי, יוסף יוסמן בן יואל - Freudiges Loblied unserm allergnädigsten König Christian dem Siebenten und dessen Thronerben gewidme - Author",1,1428490312,1428490312,1,,,,318,402.0
4756,4756,production,"Euchel, Isaac Abraham - אייכל, יצחק - Gebete der hochdeutschen und polnischen Juden - Mevi La'Dfus (Producer),Commentator,Translator",1,1428490312,1428490312,1,,,,122,405.0
4757,4757,production,"Bran, Alexander - Gesammelte Actenstücke und öffentliche Verhandlungen über die Verbesserung der Juden in Frankreich 1 - Mevi La'Dfus (Producer)",1,1428490312,1428490312,1,,,,71,405.0
4758,4758,production,"Beer, Peter - בער, פרץ - Geschichte der Juden von ihrer Rückkehr aus der babylonischen Gefangenschaft bis zur Zerstörung des  - Author",1,1428490312,1428490312,1,,,,38,402.0
4759,4759,production,"Fürth, Meyer Elkan - פירדא, אלחנן מאיר בן אברהם - Gottes Ehre und unser Nutzen oder Glückseligkeit im Glauben - Author,Mevi La'Dfus (Producer)",1,1428490312,1428490312,1,,,,171,402.0
4760,4760,production,"Romanelli, Samuel - רומנלי, שמואל - Grammatica ragionata italiana ed ebraica con trattato, ed esempj di poesia - Author",1,1428490312,1428490312,1,,,,413,402.0
4761,4761,production,"Levi, Moses - Gründlicher Unterricht in der Jüdischdeutschen Schreibart - Author,Mevi La'Dfus (Producer)",1,1428490312,1428490312,1,,,,319,402.0
4762,4762,production,"Matthieu, Levi - Gründlicher Unterricht in der Jüdischdeutschen Schreibart - Mevi La'Dfus (Producer)",1,1428490312,1428490312,1,,,,358,405.0
4763,4763,production,אנונימי - Herrn I. A. Euchel und A. F. Wolff bey Ihrer Abreise gewidmet von einigen Freunden - Author,1,1428490312,1428490312,1,,,,690,402.0
4764,4764,production,"Kuh, Ephraim Moses - קוה, אפרים - Hinterlassene Gedichte 1 - Author",1,1428490312,1428490312,1,,,,303,402.0
4765,4765,production,"Hirschel, Moses - הירשל, משה - Hinterlassene Gedichte 1 - Author,Mevi La'Dfus (Producer)",1,1428490312,1428490312,1,,,,224,402.0
4766,4766,production,"Kausch, Johann Joseph - Hinterlassene Gedichte 1 - Mevi La'Dfus (Producer)",1,1428490312,1428490312,1,,,,292,405.0
4767,4767,production,"Francia de Beaufleury, Louis - Histoire de l'établissement des juifs à Bordeaux et à Bayonne, depuis 1550 - Author",1,1428490312,1428490312,1,,,,126,402.0
4768,4768,production,"Bock, Moses Hirsch - בוק, משה (בן) צבי - Israelitischer Kinderfreund - Author",1,1428490312,1428490312,1,,,,64,402.0
4769,4769,production,"Bock, Moses Hirsch - בוק, משה (בן) צבי - Israelitischer Kinderfreund Oder Handbuch der gemeinnützigsten wissenschaftlichen Kenntnisse - Author",1,1428490312,1428490312,1,,,,64,402.0
4770,4770,production,"Wolfsohn-Halle, Aron - וולפסון, אהרון - Jeremias Klagegesänge - Translator,Commentator",1,1428490312,1428490312,1,,,,491,403.0
4771,4771,production,"Löwe, Joel - ברי""ל, יואל - Jeremias Klagegesänge - Translator,Commentator",1,1428490312,1428490312,1,,,,339,403.0
4772,4772,production,"Mendelssohn, Moses - מנדלסון, משה - Jerusalem oder über religiöse Macht und Judentum - Author",1,1428490312,1428490312,1,,,,364,402.0
4773,4773,production,"Wolfsohn-Halle, Aron - וולפסון, אהרון - Jeschurun, oder unparteyische Beleuchtung der dem Judenthume neuerdings gemachten Vorwürfe - Author",1,1428490312,1428490312,1,,,,491,402.0
4774,4774,production,"Jeitteles, Ignaz - ייטלש, יגנץ - Jonas Jeitteles - Author",1,1428490312,1428490312,1,,,,265,402.0
4775,4775,production,"אנונימי - Juden, sind sie der Handlung schädlich? - Author",1,1428490312,1428490312,1,,,,690,402.0
4776,4776,production,"Hirschel, Moses - הירשל, משה - Kampf der jüdischen Hierarchie mit der Vernunft - Author,Commentator",1,1428490312,1428490312,1,,,,224,402.0
4777,4777,production,"Rodrigues-Moreira, Jacob - Kehilath Jahacob - Author",1,1428490312,1428490312,1,,,,412,402.0
4778,4778,production,אנונימי - Les premiers pas de la nation juive vers son bonheur sous les auspices du grand monarque Napoléon - Author,1,1428490312,1428490312,1,,,,690,402.0
4779,4779,production,"Friedländer, David - פרידלענדר, דוד - Lesebuch für Jüdische Kinder - Author",1,1428490312,1428490312,1,,,,140,402.0
4780,4780,production,"Satanow, Isaak - סטנוב, יצחק - Lesebuch für Jüdische Kinder - Editor",1,1428490312,1428490312,1,,,,423,404.0
4781,4781,production,"Mendelssohn, Moses - מנדלסון, משה - Lesebuch für Jüdische Kinder - Don't know",1,1428490312,1428490312,1,,,,364,809.0
4782,4782,production,"Vanoven, Joshua - ונאובן, יהושע - Letters on the present state of the Jewish poor in the metropolis - Author",1,1428490312,1428490312,1,,,,462,402.0
4783,4783,production,"Berr, Michel - בר, מיכאל - Lettre au rédacteur du Progresseur - Author",1,1428490312,1428490312,1,,,,58,402.0
4784,4784,production,"Pereire, Jacob Rodrigues - Lettre Circulaire - Author",1,1428490312,1428490312,1,,,,396,402.0
4785,4785,production,"Valabregue, Israel-Bernard de - ואלאברג, ישראל ברנאר דה - Lettre ou Reflexions d'un Milord a son correspondant a Paris - Author",1,1428490312,1428490312,1,,,,461,402.0
4786,4786,production,"Ascher, Saul - אשר, שאול - Leviathan oder Ueber Religion in Rücksicht des Judenthums - Author,Mevi La'Dfus (Producer)",1,1428490312,1428490312,1,,,,28,402.0
4787,4787,production,"Francia de Beaufleury, Louis - Mémoire à consulter et consultation pour les cytoyens français professant le culte judaïque à Bordea - Author",1,1428490312,1428490312,1,,,,126,402.0
4788,4788,production,"Mendelssohn, Moses - מנדלסון, משה - Moses Mendelssohns Morgenstunden oder Vorlesungen über das Daseyn Gottes - Author",1,1428490312,1428490312,1,,,,364,402.0
4789,4789,production,"Dubno, Salomon - דובנא, שלמה - Nachricht von der Jüdischen Haupt- und Frey-Schule in Deßau - 1776 - Author",1,1428490312,1428490312,1,,,,105,402.0
