entity_type,bundle,deleted,entity_id,revision_id,language,delta,field_frankfurt_library_id_value,field_frankfurt_library_id_format
node,book,0,1954,1954,und,0,urn:nbn:de:hebis:30-180012126007,
node,book,0,1958,1958,und,0,"MPQ 110, F. 8639",
node,book,0,1962,1962,und,0,urn:nbn:de:hebis:30-180011459005,
node,book,0,1966,1966,und,0,MP 988,
node,book,0,1970,1970,und,0,BZG: Mn 1260,
node,book,0,1975,1975,und,0,urn:nbn:de:hebis:30-180010629003,
node,book,0,1982,1982,und,0,"MPQ 110, F. 9094-9096",
node,book,0,1994,1994,und,0,MP 1093,
node,book,0,1999,1999,und,0,urn:nbn:de:hebis:30-180013698004,
node,book,0,2001,2001,und,0,urn:nbn:de:hebis:30:1-117517,
node,book,0,2004,2004,und,0,17/630 Bd. 1,
node,book,0,2009,2009,und,0,urn:nbn:de:hebis:30-180010774005,
node,book,0,2010,2010,und,0,urn:nbn:de:hebis:30-180013792001,
node,book,0,2012,2012,und,0,urn:nbn:de:hebis:30-180011664008,
node,book,0,2016,2016,und,0,urn:nbn:de:hebis:30-180011239003,
node,book,0,2017,2017,und,0,"MPQ 110, F. 13845",
node,book,0,2029,2029,und,0,18/31964,
node,book,0,2047,2047,und,0,"MPQ 110, F. 8638-8639",
node,book,0,2048,2048,und,0,"MPQ 110, F. 8638-8639",
node,book,0,2049,2049,und,0,urn:nbn:de:hebis:30-180010667005,
node,book,0,2052,2052,und,0,urn:nbn:de:hebis:30-180011987001,
node,book,0,2057,2057,und,0,MP 989,
node,book,0,2061,2061,und,0,urn:nbn:de:hebis:30-180010649005,
node,book,0,2062,2062,und,0,urn:nbn:de:hebis:30-180012065009,
node,book,0,2063,2063,und,0,"Ffm K 2/884, Ffm K 3/79",
node,book,0,2067,2067,und,0,8° A.258.2589,
node,book,0,2073,2073,und,0,urn:nbn:de:hebis:30-180011244006,
node,book,0,2100,2100,und,0,MF 15760,
node,book,0,2118,2118,und,0,MP 26665,
node,book,0,2123,2123,und,0,MP 26713,
node,book,0,2124,2124,und,0,MP 26713,
node,book,0,2133,2133,und,0,urn:nbn:de:hebis:30:1-152246,
node,book,0,2135,2135,und,0,urn:nbn:de:hebis:30-180010818015,
node,book,0,2138,2138,und,0,urn:nbn:de:hebis:30:2-5735,
node,book,0,2161,2161,und,0,urn:nbn:de:hebis:30:2-1144,
node,book,0,2181,2181,und,0,urn:nbn:de:hebis:30:2-1465,
node,book,0,2184,2184,und,0,urn:nbn:de:hebis:30:2-2704,
node,book,0,2189,2189,und,0,urn:nbn:de:hebis:30:2-880,
node,book,0,2198,2198,und,0,urn:nbn:de:hebis:30:1-152246,
node,book,0,2209,2209,und,0,urn:nbn:de:hebis:30:1-111774,
node,book,0,2210,2210,und,0,urn:nbn:de:hebis:30:1-111834,
node,book,0,2224,2224,und,0,urn:nbn:de:hebis:30:2-3361,
node,book,0,2226,2226,und,0,urn:nbn:de:hebis:30:2-3372,
node,book,0,2230,2230,und,0,"K 27/162, MP 26674",
node,book,0,2303,2303,und,0,urn:nbn:de:hebis:30:2-1490,
node,book,0,2319,2319,und,0,MP 34002 Bd. YBN-76,
node,book,0,2364,2364,und,0,urn:nbn:de:hebis:30:2-1678,
node,book,0,2384,2384,und,0,urn:nbn:de:hebis:30:2-1465,
node,book,0,2396,2396,und,0,Jud. 7477,
node,book,0,2453,2453,und,0,MP 26736,
node,book,0,2454,2454,und,0,MP 26736,
node,book,0,2455,2455,und,0,MP 26736,
node,book,0,2456,2456,und,0,MP 26736,
node,book,0,2457,2457,und,0,MP 26736,
node,book,0,2464,2464,und,0,urn:nbn:de:hebis:30-180012002002,
node,book,0,2472,2472,und,0,urn:nbn:de:hebis:30:2-1452,
node,book,0,2474,2474,und,0,urn:nbn:de:hebis:30:2-3706,
node,book,0,2475,2475,und,0,urn:nbn:de:hebis:30:2-3715,
node,book,0,2476,2476,und,0,urn:nbn:de:hebis:30:2-3721,
