entity_type,bundle,deleted,entity_id,revision_id,language,delta,field_last_known_edition_value,field_last_known_edition_format
node,book,0,1952,1952,und,0,1789,
node,book,0,1956,1956,und,0,1788,
node,book,0,1994,1994,und,0,1994,
node,book,0,1997,1997,und,0,1817,
node,book,0,2007,2007,und,0,1841,
node,book,0,2068,2068,und,0,1789 [1998],
node,book,0,2074,2074,und,0,"1814, וינה, אנטון שמיד, משופרת ומורחבת.",
node,book,0,2076,2076,und,0,"1967, תל אביב",
node,book,0,2078,2078,und,0,"ברלין, תקל""ב",
node,book,0,2107,2107,und,0,"1898, ורשה (תרגום יעקב בן ישראל פאפירנא. הוצאה רביעית עם תיקונים והוספות רבות)1898, ורשה (תרגום יעקב בן ישראל פאפירנא. הוצאה רביעית עם תיקונים והוספות רבות)",
node,book,0,2108,2108,und,0,"1874, (א'+ב') למברג",
node,book,0,2110,2110,und,0,"תקסא, ברלין, חברת חינוך נערים",
node,book,0,2116,2116,und,0,תקס''ז,
node,book,0,2150,2150,und,0,"ברלין, תקנא",
node,book,0,2156,2156,und,0,אמסטרדם תקסט,
node,book,0,2171,2171,und,0,"תקמ""ו, ברלין",
node,book,0,2175,2175,und,0,"1795, ברלין",
node,book,0,2179,2179,und,0,"1925, Vienna",
node,book,0,2192,2192,und,0,"London, 1771",
node,book,0,2194,2194,und,0,קפוסט תקעג,
node,book,0,2202,2202,und,0,"תקע""ב, ברלין",
node,book,0,2211,2211,und,0,"תקע""ב, Berlin",
node,book,0,2234,2234,und,0,ירושלים 1979,
node,book,0,2242,2242,und,0,"ורשה, תרפו",
node,book,0,2243,2243,und,0,"1799, ברלין",
node,book,0,2245,2245,und,0,"1789, ברלין, חברת חינוך נערים",
node,book,0,2246,2246,und,0,"תקנ""ב, ברלין, דפוס חינוך נערים",
node,book,0,2250,2250,und,0,"אפען, 1851 [יודלוב מציין מהדורה מאוחרת יותר, ברלין 1875, הנכללת באחד הקטלוגים, אך טוען כי ייתכן שמדובר בטעות (במקום 1785).]",
node,book,0,2255,2255,und,0,"1995, ברוקלין (ש' שפרכר)",
node,book,0,2277,2277,und,0,"תקנ""ח, ברלין, דפוס חינוך נערים",
node,book,0,2287,2287,und,0,"ירושלים תשס""ב",
node,book,0,2290,2290,und,0,1803,
node,book,0,2295,2295,und,0,"פאסט, 1863",
node,book,0,2303,2303,und,0,"פרסבורג תרי""ט",
node,book,0,2312,2312,und,0,"1835, זלקווא",
node,book,0,2322,2322,und,0,"תקמ""ט, ברלין, חברת חינוך נערים.",
node,book,0,2336,2336,und,0,דירנפורט תקפז,
node,book,0,2337,2337,und,0,"וילנא תר""ן",
node,book,0,2347,2347,und,0,2006,
node,book,0,2354,2354,und,0,"1789, פראג",
node,book,0,2356,2356,und,0,"1993, ברוקלין, נ.י.",
node,book,0,2361,2361,und,0,"וילנה תקצ""ה",
node,book,0,2363,2363,und,0,"תרמ""ח, יוזעפאף",
node,book,0,2365,2365,und,0,"תשמ""ט, ירושלים",
node,book,0,2374,2374,und,0,"1995, ניו יורק",
node,book,0,2376,2376,und,0,"1997, נתיבות",
node,book,0,2378,2378,und,0,"1993, ברוקלין, נ.י.",
node,book,0,2417,2417,und,0,"1812, פראג",
node,book,0,2418,2418,und,0,"1812, פראג",
node,book,0,2419,2419,und,0,"1791, שקלוב",
node,book,0,2421,2421,und,0,לבוב 1869,
node,book,0,2422,2422,und,0,"1869, למברג",
node,book,0,2470,2470,und,0,"1813, וינה (עם תת-כותרת בגרמנית ובצרפתית)",
node,book,0,2474,2474,und,0,"1850, פראג",
node,book,0,2475,2475,und,0,"1850, פראג",
node,book,0,2476,2476,und,0,"1850, פראג",
node,book,0,2478,2478,und,0,"1912, וילנה [יחד עם הספר ""ספר שערי נעימה"" (על טעמי א'יוב, מ'שלי, ת'הלים) שכתב שלמה חלם (בערך 1715-1781), עם הערות של שלמה מדובנא ""יתרון לאדם"" ו""חקר לשון אדם"" ו""שני לוחות העדות"" מאת אד""ם הכהן בן-חיים לעבענזאהן (לבנזון, אברהם דב)]",
