entity_type,bundle,deleted,entity_id,revision_id,language,delta,field_old_name_in_book_value,field_old_name_in_book_format
node,book,0,2079,2079,und,0,אגרת ארחות עולם,
node,book,0,2105,2105,und,0,באור מלות ההגיון,
node,book,0,2144,2144,und,0,"הפטרה לשחרית יום הכפורים (ישעיה ק' נ""ז פ' י""ד ביז ק' נ""ט)",
node,book,0,2166,2166,und,0,"שמונה פרקים לר""מב""ם",
node,book,0,2169,2169,und,0,יונה,
node,book,0,2193,2193,und,0,מאמר חקור הדין...,
node,book,0,2203,2203,und,0,מגלת קהלת,
node,book,0,2213,2213,und,0,מורה נבוכים,
node,book,0,2250,2250,und,0,הגדה על פסח,
node,book,0,2262,2262,und,0,ספר איוב,
node,book,0,2267,2267,und,0,מרפא לשון,
node,book,0,2271,2271,und,0,ספר דניאל,
node,book,0,2277,2277,und,0,ספר הגדרים,
node,book,0,2283,2283,und,0,ישראל זמושץ,
node,book,0,2286,2286,und,0,"ר' יוסף ברבינו ש""ט",
node,book,0,2288,2288,und,0,"ר' יוסף ברבינו ש""ט",
node,book,0,2289,2289,und,0,ספר העקרים,
node,book,0,2295,2295,und,0,תהלים,
node,book,0,2296,2296,und,0,תהלים,
node,book,0,2297,2297,und,0,תהלים,
node,book,0,2298,2298,und,0,תהלים,
node,book,0,2344,2344,und,0,ספר מקוה ישראל,
node,book,0,2345,2345,und,0,הלכות קידוש החדש,
node,book,0,2347,2347,und,0,ספר בראשית,
node,book,0,2352,2352,und,0,"ראו חלון ""תרגום""",
node,book,0,2370,2370,und,0,שערי נעימה,
