nid,tid
1954,375
1956,380
1958,377
1958,379
1959,359
1960,377
1960,378
1964,376
1966,377
1966,378
1969,377
1969,378
1970,343
1970,344
1974,351
1974,358
1975,341
1976,366
1976,370
1976,372
1978,351
1978,352
1982,351
1988,380
1988,384
1990,347
1991,325
1991,387
1992,377
1992,378
1993,336
1994,377
1994,378
1997,360
1997,363
1997,366
1997,370
1997,372
1999,380
1999,384
2001,387
2004,343
2004,345
2006,330
2006,387
2006,388
2006,389
2009,359
2010,332
2013,324
2015,351
2015,355
2017,328
2027,366
2027,370
2028,366
2031,336
2039,337
2042,351
2042,355
2042,385
2043,385
2046,325
2046,326
2052,359
2053,332
2053,333
2056,385
2057,343
2058,359
2058,377
2063,332
2063,334
2066,342
2066,377
2066,378
2067,377
2067,378
2074,325
2074,326
2074,327
2076,353
2076,364
2078,360
2078,364
2080,386
2081,387
2082,390
2094,351
2097,331
2099,359
2100,342
2100,387
2100,389
2107,320
2107,323
2107,325
2107,326
2107,351
2107,358
2107,366
2107,370
2108,320
2108,323
2108,351
2108,357
2108,360
2108,361
2108,362
2108,363
2108,364
2110,331
2110,342
2110,366
2112,387
2114,351
2114,357
2116,366
2116,367
2116,370
2116,372
2117,351
2117,355
2118,325
2118,327
2118,347
2118,351
2118,352
2120,336
2121,341
2122,385
2125,332
2125,341
2126,331
2127,332
2127,334
2127,351
2127,359
2128,359
2131,343
2131,344
2134,387
2135,342
2136,342
2139,320
2139,323
2139,366
2139,370
2139,380
2140,331
2149,336
2149,338
2150,347
2150,351
2151,351
2151,355
2152,351
2152,358
2153,351
2153,366
2153,370
2155,351
2157,376
2157,386
2159,366
2159,368
2159,380
2161,359
2162,336
2166,324
2170,351
2170,357
2170,360
2171,331
2171,351
2171,357
2171,380
2171,384
2172,351
2175,377
2175,380
2175,381
2175,382
2184,347
2184,349
2185,351
2185,357
2186,351
2186,355
2188,351
2188,355
2191,377
2191,378
2192,380
2192,381
2192,382
2192,383
2192,384
2195,351
2201,324
2202,320
2204,324
2205,324
2206,376
2210,325
2210,327
2211,320
2211,323
2211,336
2211,351
2211,352
2211,357
2211,366
2211,370
2211,376
2211,386
2216,351
2231,341
2231,380
2235,351
2235,357
2236,351
2236,355
2237,329
2237,376
2238,351
2238,355
2241,320
2242,351
2245,351
2245,357
2245,381
2245,384
2246,376
2246,380
2246,381
2246,384
2247,351
2247,357
2247,380
2247,381
2247,384
2248,351
2248,357
2256,336
2260,351
2260,357
2263,380
2265,342
2265,351
2265,357
2266,336
2267,387
2268,335
2268,387
2269,338
2269,339
2270,338
2270,339
2275,359
2279,351
2279,357
2280,351
2280,380
2280,383
2280,384
2282,336
2282,351
2282,357
2282,380
2282,383
2282,384
2285,380
2285,384
2285,386
2286,351
2287,342
2295,338
2295,339
2296,338
2296,339
2297,338
2297,339
2302,342
2303,366
2303,369
2307,336
2311,351
2311,357
2312,351
2312,357
2312,380
2312,381
2312,382
2312,383
2314,331
2317,387
2320,336
2320,366
2320,368
2323,351
2325,338
2325,339
2326,324
2330,351
2336,387
2338,351
2338,357
2343,359
2343,366
2343,369
2345,366
2345,369
2345,380
2345,383
2345,387
2348,351
2354,351
2354,357
2354,380
2357,351
2358,335
2362,342
2363,380
2363,382
2364,336
2366,366
2366,369
2369,387
2370,351
2371,336
2373,324
2374,336
2375,332
2375,334
2376,380
2376,381
2376,382
2376,383
2379,325
2381,366
2381,368
2384,335
2384,387
2387,380
2387,381
2387,382
2387,383
2387,384
2388,377
2388,379
2389,377
2389,379
2390,376
2395,331
2395,343
2395,345
2401,336
2402,336
2403,324
2404,351
2404,355
2404,359
2407,351
2407,358
2410,341
2413,351
2413,355
2415,359
2416,336
2417,351
2417,357
2418,380
2418,382
2420,377
2420,379
2421,380
2421,381
2421,382
2421,383
2421,384
2422,380
2422,381
2422,382
2422,383
2422,384
2424,359
2425,351
2431,320
2431,321
2431,331
2440,366
2440,370
2443,351
2443,355
2444,351
2444,355
2444,366
2444,370
2450,351
2450,355
2450,366
2450,370
2450,372
2451,351
2455,325
2455,326
2455,327
2455,351
2466,341
2467,351
2472,342
2473,332
2474,351
2474,357
2475,351
2475,357
2476,351
2476,357
2478,351
2478,357
