tid,vid,name,description,weight,format
768,14,(Christoph) Schlieder - כ. (כריסטוף) שלידר,,0,
536,14,A. Alexander,,0,
749,14,A. Hladky,,0,
764,14,Abraham ben Salomo Proops - אברהם בן שלמה פרופס,,0,
593,14,Anton Schmid - אנטאן שמיד,,0,
773,14,Anton Straschiripka - אנטאן שטראשיריפקא,,0,
572,14,August Mylius,,0,
472,14,Baumgärtner - באומגרטנר,,0,
701,14,Bayrhofer - בייארהאפיר,,0,
513,14,Bran,,0,
729,14,Breitkopf & Härtel - ברייטקאפף אונד הערטעל,,0,
776,14,C. (Christoph) Schlieder - כ. (כריסטוף) שלידר,,0,
783,14,C. F. Rellstab,,0,
514,14,Carl Ferdinand Beck,,0,
462,14,Carl Friedrich Amelang,,0,
465,14,Carl Schaumburg,,0,
588,14,Carl Wilhelm Hahn,,0,
719,14,Chaim David ben Aaron Halevi,,0,
425,14,Christian Friedrich Voss,,0,
549,14,Christian Friedrich Voss & Sohn,,0,
512,14,Daniel Christoph Kanter - דניאל קריסטאף קאנתר,,0,
718,14,David ben Menachem Man,,0,
761,14,David Christoph Eckermann - דוד כריסטוף עקרמן,,0,
614,14,Delius - דליוס,,0,
703,14,E. E. Eckstorff,,0,
561,14,Eliasar Moses Cohen,,0,
741,14,"Eliezer Leser & Nathan Mai - אליעזר ליזר שמש - נתן בר""מ מאיי",,0,
596,14,Elsenwanger - אלזינוואנגר,,0,
579,14,Ernst Felisch,,0,
641,14,Eva Diesbach - חוה דיעסבאק,,0,
515,14,F. Bruder,,0,
616,14,F. Sommer - פ. זומר,,0,
488,14,F. Vieweg,,0,
560,14,Franz Sommer - פראנץ זאממער,,0,
546,14,Friedrich Franke,,0,
433,14,Friedrich Maurer,,0,
442,14,Füßli & Co.,,0,
748,14,G. F. Starcke,,0,
610,14,G. Richardson & S. Clark,,0,
575,14,Gaedicke - האחים,,0,
446,14,Gattey,,0,
494,14,Gebr. Levrault,,0,
745,14,Georg Heinrich Mahnke - געארג היינריך מאהנקע,,0,
612,14,Georg Hraschanzky - געארג הראשאנצקיא,,0,
784,14,George Jacob Decker,,0,
441,14,Geßner,,0,
562,14,Giguet et Michaud,,0,
502,14,Göschen,,0,
464,14,Gottfried Hayn,,0,
556,14,Gottlieb August Lange,,0,
574,14,Gottlieb Friedrich Schniedes,,0,
