tid,vid,name,description,weight,format
467,16,N/A,,0,
564,16,Salomon Maimon's Lebensgeschichte,,0,
601,16,אוצר השרשים,,0,
617,16,בית הספר,,0,
626,16,גן נעול,,0,
628,16,דברי ריבות,,0,
630,16,דברי שלום ואמת,,0,
638,16,דת ישראל oder Das Judenthum,,0,
644,16,הפטרות מכל השנה,,0,
657,16,יריעות שלמה,,0,
665,16,לוחות העיבור,,0,
731,16,מאיר נתיב הלשון,,0,
678,16,מודע לבני בינה oder Kinderfreund und Lehrer,,0,
679,16,מורה נבוכים,,0,
687,16,מחזור (בלאומית ישנם 8 כרכים),,0,
686,16,מחזור (בלאומית רשומים 8 כרכים),,0,
688,16,מחזור (בספריה הלאומית ישנם 8 כרכים),,0,
689,16,מחזור (כולל 8 ספרים לפי מה שיש בספריה הלאומית),,0,
693,16,מציאת הארץ החדשה,,0,
698,16,משלי אסף,,0,
711,16,ספר דברי יושר,,0,
713,16,ספר הברית,,0,
717,16,ספר המדות,,0,
723,16,ספר השרשים,,0,
724,16,ספר זמירות ישראל,,0,
736,16,ספר מלכים,,0,
738,16,ספר מנחה חדשה,,0,
744,16,ספר מעשי יהוה,,0,
697,16,ספר משלי אגור,,0,
747,16,ספר נתיבות השלום,,0,
765,16,עשרה מאמרות,,0,
772,16,קורות שנות קדם,,0,
774,16,ראשית למודים,,0,
786,16,שירי תפארת,,0,
789,16,תורת לשון עברית,,0,
