tid,vid,name,description
320,3,Belles-lettres,
321,3,Allegory,
323,3,Parable,
324,3,Bi'ur,
325,3,Biblical adaptation,
326,3,Biblical history,
327,3,Biblical stories,
328,3,Blessings,
329,3,Book review,
330,3,Catechisms,
331,3,Dialogue,
332,3,Epistolary literature,
333,3,Epistolary literature (fictional),
334,3,Epistolary literature (real),
335,3,Guidebook,
336,3,Informative text,
337,3,Lecture,
338,3,Lexicon,
339,3,Dictionary,
340,3,Encyclopedia,
341,3,Manifesto,
342,3,Moral literature,
343,3,Personal writing,
344,3,Autobiography,
345,3,Biography,
347,3,Play,
349,3,Purim spiel,
351,3,Poems,
352,3,Biblical epic poetry,
353,3,Elegies,
354,3,Piyyut,
355,3,Poems for special occasions,
357,3,Meliza,
358,3,Other poetry,
359,3,Polemics,
360,3,Proverbs and sayings,
361,3,Aphorisms,
362,3,Epigrams,
363,3,Proverbs,
364,3,Sayings,
366,3,Religious literature,
367,3,Aggadah/Midrash,
368,3,Commentary,
369,3,Halachic literature,
370,3,Liturgy,
372,3,Prayers,
375,3,Report,
376,3,Riddles,
377,3,Scientific literature,
378,3,Essay,
379,3,Treatise,
380,3,Scientific text model,
381,3,Concise phrasing,
382,3,Frequent use of numbers,
383,3,Professional phrasing,
384,3,Scientific instruments mentioned,
385,3,Speech,
386,3,Story,
387,3,Textbook,
388,3,Hornbook,
389,3,Reader,
390,3,Travel literature,
