tid,vid,name,description,weight,format
602,18,Acculturation,,0,
450,18,Aesthetics,,0,
619,18,Anatomy,,0,
623,18,Animals,,0,
451,18,Anthropology,,0,
506,18,Anti-Semitism,,0,
631,18,Apologetics,,0,
778,18,Ashkenazi Jews,,0,
663,18,Astrology,,0,
594,18,Astronomy,,0,
443,18,Atheism,,0,
757,18,Ban,,0,
489,18,Bible,,0,
530,18,Biblical criticism,,0,
532,18,Bourgeoisie,,0,
660,18,Burial,,0,
667,18,Calculations of the calendar,,0,
535,18,Censorship,,0,
490,18,Central historical figures,,0,
503,18,Charity,,0,
707,18,Chemistry,,0,
480,18,Christianity,,0,
476,18,Commandments,,0,
507,18,Conversion,,0,
691,18,Customs,,0,
576,18,Death,,0,
550,18,Deism,,0,
624,18,"Discovery of the ""New World""",,0,
444,18,Edict of toleration,,0,
516,18,Education,,0,
421,18,Emancipation,,0,
473,18,Ethics,,0,
634,18,Expansion of Hebrew literature,,0,
708,18,Expulsion of Jews,,0,
716,18,Extraterrestrial life,,0,
508,18,False enlightenment,,0,
771,18,Family,,0,
661,18,Friendship,,0,
742,18,Games,,0,
580,18,Gender,,0,
620,18,General knowledge,,0,
527,18,Geography,,0,
595,18,Geometry,,0,
573,18,Halachah,,0,
675,18,Health,,0,
459,18,Hebrew,,0,
734,18,History of science,,0,
643,18,Holidays,,0,
648,18,Humanism,,0,
622,18,Image of childhood,,0,
629,18,Immortality of the soul,,0,
551,18,Important personalities in culture,,0,
491,18,Important personalities in Jewish culture,,0,
737,18,Jewish history,,0,
565,18,Kabbala,,0,
692,18,Liberalism,,0,
635,18,Literary criticism,,0,
466,18,Logic,,0,
662,18,Love,,0,
485,18,Manners,,0,
683,18,Marriage,,0,
566,18,Matchmaking,,0,
651,18,Mathematics,,0,
586,18,Medicine,,0,
706,18,Medieval commentary,,0,
597,18,Messianism,,0,
452,18,Metaphysics,,0,
642,18,Mishna,,0,
453,18,Morals,,0,
553,18,Mourning,,0,
725,18,Music,,0,
699,18,Mysticism,,0,
528,18,Natural history (zoology/botany/mineralogy),,0,
541,18,Natural rights,,0,
726,18,Openness to non-Jews,,0,
676,18,Optics,,0,
695,18,Oriental Jews,,0,
477,18,Orthodoxy,,0,
460,18,Patriotism,,0,
781,18,Philanthropism,,0,
434,18,Philosophy,,0,
435,18,Physics,,0,
422,18,Political and social revolutions,,0,
627,18,Politics,,0,
542,18,Productivity,,0,
543,18,Professionalization,,0,
533,18,Professions and occupations,,0,
715,18,Psychology,,0,
486,18,Rabbinical establishment,,0,
567,18,Rationalism,,0,
478,18,Religious beliefs,,0,
568,18,Religious criticism,,0,
445,18,Religious fanaticism,,0,
504,18,Religious reform,,0,
431,18,Religious rites,,0,
428,18,Religious tolerance/ intolerance,,0,
680,18,Revelation,,0,
750,18,Sabbatianism,,0,
664,18,Secularization,,0,
696,18,Sephardic Jews,,0,
636,18,Sephardic poetry,,0,
704,18,Sexual intercourse,,0,
569,18,Social criticism,,0,
518,18,Study of Languages,,0,
547,18,Superstitions,,0,
481,18,Talmud,,0,
548,18,Theology,,0,
492,18,Translation,,0,
524,18,Travels,,0,
649,18,Universalism,,0,
639,18,Use of various languages,,0,
544,18,Utilitarism,,0,
672,18,Wanderings,,0,
461,18,Wars,,0,
529,18,World history,,0,
727,18,Yiddish,,0,
520,18,Yiddish-deutsch,,0,
600,18,Zion/Eretz Israel,,0,
