nid,vid,type,title,status,created,changed,uid,book_target_id,translation_city_tid,translation_references,translation_references_format,translation_year,translation_year_format,translator_target_id
2488,2488,translation,Etwas zur Charackteristick der Juden - Hebrew,1,1428490248,1428490248,1,1994,,,,1994,,
2489,2489,translation,בית הספר א - גרמנית,1,1428490248,1428490248,1,2107,273.0,,,1842,,1668.0
2490,2490,translation,בית הספר א - איטלקית,1,1428490248,1428490248,1,2107,273.0,,,1825,,1336.0
2491,2491,translation,בית הספר א - רוסית,1,1428490248,1428490248,1,2107,276.0,,,1873,,1670.0
2492,2492,translation,דברי שלום ואמת א - איטלקית,1,1428490248,1428490248,1,2125,78.0,"הספר תורגם לאיטלקית ע""י אליהו מורפורגו זמן קצר לאחר פרסומו:
Traduzione di Elia Morpurgo de' Discorsi ebraici di tolleranza e felicità diretti de Naftali Herz Weisel agli ebrei dimoranti ne' domini dell'Augustissimo Imperadore Giuseppe II, il Giusto.",,1783,,675.0
2493,2493,translation,דברי שלום ואמת א - גרמנית,1,1428490248,1428490248,1,2125,,,,,,1951.0
2494,2494,translation,דברי שלום ואמת א - הולנדית,1,1428490248,1428490248,1,2125,,,,,,
2495,2495,translation,דברי שלום ואמת א - צרפתית,1,1428490248,1428490248,1,2125,14.0,"Instruction salutaire adressée aux communautés juives de l'Empire, par le célèbre Hartwic Weisly, juif de Berlin, traduite en françois en l'année 1782. Nouvelle édition augmentée de notes, d'une lettre à M. l'abbé Maury, député à l'Assemblée nationale, par l'éditeur [ : Isaac Berr], et de la réponse de M. l'abbé Maury, Paris.",,1790,,
2496,2496,translation,הנפש - גרמנית,1,1428490248,1428490248,1,2142,31.0,"מהדורת ברין תקנ""ח כוללת תרגום חלקי של הספר לגרמנית",,"תקנ""ח",,
2497,2497,translation,זה ספר זכר צדיק - גרמנית,1,1428490248,1428490248,1,2156,,"הספר תורגם ב- 1840: 
Aus dem Leben Wessely's",,1840,,
2498,2498,translation,מודע לבני בינה oder Kinderfreund und Lehrer 2 - הולנדית,1,1428490248,1428490248,1,2210,,<strong>מודע לבני בינה</strong> יצא במהדורה מיוחדת עם הולנדית במקום גרמנית. מהדורה זו כוללת (ככל הנראה) גם את החלק השני של הספר.,,,,
2499,2499,translation,מלוכת שאול - יידיש,1,1428490248,1428490248,1,2234,,"הספר תורגם ליידיש (תחת הכותרת ""ספר גדולת דוד ומלוכת שאול""), תוך שינוי אידיאולוגי עצום (ראו ורסס, המחזה מלוכת שאול)  וזכה למהדורות רבות הרבה יותר מאשר בעברית.

לפי ורסס ושקד, במהדורות 1871 ו- 1885 חלו שינויי גרסה לשוניים רבים מאת המו""ל.",,,,
2500,2500,translation,משא בערב - אנגלית,1,1428490248,1428490248,1,2242,41.0,"הספר תורגם לאנגלית במחצית השנייה של המאה ה- 19 על-ידי. הוא יצא תחת הכותרת:
Romanelli's Travels in Marocco towards the End of the 18th Century, fifth edition with Preface, Notes and the Life of the Author. By S.M. Schiller-Szinessy, Hebrew and English.",,1886,,415.0
2501,2501,translation,ספר מלחמה בשלום - יידיש,1,1428490248,1428490248,1,2324,,תרגום ליידיש: גדולת יוסף (זכה למהדורות רבות),,,,
2502,2502,translation,שירי תפארת א - גרמנית,1,1428490248,1428490248,1,2453,,"שני השירים הראשונים תורגמו לגרמנית (1795) ע""י שני פרופ' גרמניים (הופנאגל ושפאלדינד) (וייזל כתב לתרגום זה הערות בגרמנית).

לפי קלויזנר, א', עמ' 139",,1795,,
2503,2503,translation,שירי תפארת א - גרמנית,1,1428490248,1428490248,1,2453,,"עוד שני שירים תרגם בנו הבחור של וייזל.

לפי קלויזנר, א', עמ' 139",,,,
2504,2504,translation,שירי תפארת א - גרמנית,1,1428490248,1428490248,1,2453,,"מנחם עמנואל וייזל, בנו השני של וייזל, תירגם עוד שלשה שירים לגרמנית.

לפי קלויזנר, א', עמ' 139",,1806,,1487.0
2505,2505,translation,שירי תפארת א - צרפתית,1,1428490248,1428490248,1,2453,,"חלק מן השירים תורגם ע""י מ. בר לצרפתית.

לפי קלויזנר, א', עמ' 139",,1815,,
2506,2506,translation,"תודת אמונת בית ישראל - גרמנית,צרפתית",1,1428490248,1428490248,1,2470,273.0,המהדורה כוללת לפי ה-IUL- עם תת-כותרת בגרמנית ובצרפתית. תרגום לגרמנית ותרגום לצרפתית,,1813,,
